0.8 -1.275 218500000000 steps
33.7154 0.0255679 
n radius_n error   
0 0 0
1 1 5.63211e-09
2 2.66667 3.39299e-05
3 3.79446 0.000106586
4 5.90196 0.000171004
5 6.99501 0.000283261
6 9.37802 0.000375611
7 10.237 0.000551731
8 12.6859 0.00069913
9 13.6044 0.000964649
10 15.9693 0.00108839
11 16.9253 0.001315
12 19.3364 0.00159322
13 20.212 0.0018161
14 22.6891 0.00206296
15 23.5263 0.0033296
16 26.0175 0.00273188
17 26.8402 0.00314531
18 29.349 0.00337824
19 30.1322 0.00377152
20 32.6689 0.00446713
21 33.4123 0.0059816
22 35.9837 0.0055854
23 36.6974 0.00608212
24 39.2816 0.00628394
25 39.958 0.00728613
26 42.5598 0.00799115
27 43.2205 0.010922
28 45.8249 0.00932409
29 46.4505 0.00907771
30 49.0761 0.00967161
31 49.6765 0.00939174
32 52.3112 0.0100764
33 52.8795 0.0109509
34 55.5319 0.0121472
35 56.0769 0.0125701
36 58.7314 0.0137594
37 59.2544 0.014476
38 61.9196 0.0155819
39 62.4291 0.0159455
40 65.0865 0.0176473
41 65.5759 0.0193714
42 68.251 0.0293574
43 68.7295 0.0296039
44 71.4082 0.023431
45 71.8572 0.0237703
46 74.538 0.0249743
47 74.9589 0.0241966
48 77.6465 0.0271156
49 78.0661 0.0277364
50 80.7451 0.0271095
51 81.1494 0.0310597
52 83.8165 0.0309689
53 84.2082 0.0370993
54 86.8731 0.0328111
55 87.2592 0.0361871
56 89.9217 0.0374624
57 90.2898 0.0384432
58 92.9363 0.0396537
59 93.2902 0.0451423
60 95.9217 0.0498444
61 96.3159 0.048398
62 98.9492 0.0501346
63 99.2873 0.0502337
64 101.989 0.0512809
65 102.266 0.0532945
66 104.979 0.0615061
67 105.212 0.0601473
68 107.884 0.059333
69 108.171 0.0663914
70 110.817 0.0605919
71 111.065 0.0741599
72 113.732 0.0661808
73 113.943 0.0715891
74 116.595 0.0814998
75 116.811 0.0821661
76 119.495 0.090177
77 119.718 0.0884728
78 122.319 0.0869649
79 122.544 0.104987
80 125.215 0.0972857
81 125.483 0.0912519
82 128.105 0.0992529
83 128.313 0.103486
84 130.954 0.0979107
85 131.123 0.105333
86 133.869 0.110925
87 134.083 0.11111
88 136.692 0.112791
89 136.757 0.115844
90 139.538 0.118167
91 139.531 0.120614
92 142.278 0.121715
93 142.405 0.124827
94 145.024 0.136693
95 145.113 0.15155
96 147.812 0.18371
97 147.803 0.160651
98 150.538 0.149499
99 150.483 0.152271
100 153.307 0.155245
101 153.287 0.160811
102 156.071 0.168776
103 155.997 0.163922
104 158.73 0.168587
105 158.821 0.173679
106 161.339 0.199053
107 161.375 0.191013
108 164.043 0.194854
109 164.026 0.218209
110 166.585 0.211587
111 166.664 0.221946
112 169.163 0.231112
113 169.256 0.214959
114 171.932 0.238726
115 171.991 0.241316
116 174.434 0.250948
117 174.797 0.230852
118 177.283 0.240011
119 177.498 0.267417
120 180.015 0.269794
121 179.972 0.295517
122 182.755 0.308066
123 182.98 0.276548
124 185.506 0.293501
125 185.526 0.330445
126 187.928 0.382517
127 187.893 0.310889
128 190.349 0.331406
129 190.68 0.334025
130 193.317 0.347384
131 192.977 0.38361
132 195.919 0.37803
133 195.706 0.360308
134 198.529 0.336935
135 198.529 0.379804
136 200.743 0.39901
137 200.908 0.40282
138 203.749 0.397154
139 203.47 0.419265
140 206.462 0.421163
141 206.142 0.441766
142 209.009 0.454965
143 208.972 0.438943
144 211.599 0.460641
145 211.286 0.490984
146 214.002 0.512891
147 213.771 0.469915
148 216.378 0.50122
149 216.7 0.529921
150 219.043 0.716068
151 218.359 0.568729
152 221.382 0.719328
153 221.148 0.680009
154 223.591 0.791542
155 223.272 0.643221
156 226.194 0.584698
157 226.402 0.613276
158 228.635 0.716175
159 228.848 0.788713
160 231.95 0.727139
161 231.414 0.649757
162 233.572 0.725704
163 233.464 0.786805
164 236.142 0.841039
165 235.446 0.763479
166 238.478 1.00895
167 238.097 0.953986
168 240.677 0.932857
169 239.882 0.94881
170 242.658 0.990275
171 242.093 0.987417
172 244.685 0.784643
173 244.289 1.09857
174 246.691 1.09303
175 246.638 1.05178
176 249.645 1.01882
177 249.559 1.02824
178 252.28 1.06864
179 252.173 1.09652
180 254.807 1.13188
181 255.325 1.56755
182 256.732 1.56533
183 256.851 1.60213
184 259.076 1.28716
185 259.892 1.13528
186 261.757 1.32626
187 262.594 1.24144
188 264.748 1.38234
189 265.387 1.34349
190 267.515 1.38598
191 268.168 1.46281
192 270.235 1.54153
193 270.505 1.62925
194 272.769 1.53904
195 273.129 1.6081
196 274.856 1.49207
197 275.59 1.44304
198 277.927 1.55343
199 278.234 1.58956
200 279.933 1.62113
201 279.87 1.54205
202 281.842 2.1027
203 282.748 1.79629
204 284.398 1.81003
205 284.582 2.12308
206 286.27 2.67209
207 286.26 2.08774
208 290.083 2.01407
209 287.904 1.92142
210 291.869 2.22897
211 290.098 2.41517
212 294.381 2.43572
213 293.268 2.13629
214 295.693 1.90352
215 295.274 1.86124
216 297.839 1.9075
217 297.874 1.85084
218 299.5 2.13434
219 299.701 1.96945
220 302.583 2.02294
221 302.338 2.03545
222 304.647 2.26959
