0.4 -1.0655 52400000000 steps
247.584 1.00476 
n radius_n error   
0 0 0
1 1 3.53688e-09
2 2.66688 0.000338285
3 4.2069 0.00100042
4 6.49179 0.00142948
5 8.34939 0.00293252
6 11.0092 0.00351046
7 13.0008 0.00515207
8 15.9221 0.0057707
9 18.1341 0.00728142
10 21.2167 0.00822262
11 23.6461 0.0100531
12 26.907 0.0122519
13 29.4897 0.0143362
14 32.9235 0.0160896
15 35.666 0.0213437
16 39.2466 0.0247076
17 42.139 0.027566
18 45.8594 0.0261468
19 48.8904 0.028583
20 52.7449 0.0331511
21 55.9254 0.0346537
22 59.9159 0.0380161
23 63.2409 0.0479087
24 67.3506 0.0592141
25 70.7691 0.0683348
26 75.0205 0.0668489
27 78.6044 0.0642272
28 82.9346 0.0642306
29 86.6334 0.0599312
30 91.1273 0.0634085
31 94.9116 0.0689145
32 99.4502 0.0717297
33 103.37 0.080307
34 108.013 0.0757683
35 112.02 0.0787791
36 116.778 0.089697
37 120.946 0.089222
38 125.813 0.0961282
39 130.098 0.100035
40 135.046 0.110288
41 139.43 0.116097
42 144.496 0.123915
43 148.972 0.134189
44 154.07 0.119239
45 158.644 0.136432
46 163.882 0.13407
47 168.566 0.138087
48 173.888 0.14348
49 178.574 0.161461
50 183.987 0.166918
51 188.856 0.160807
52 194.299 0.163135
53 199.133 0.171207
54 204.737 0.180315
55 209.859 0.179384
56 215.565 0.187104
57 220.606 0.200681
58 226.307 0.204903
59 231.58 0.220993
60 237.463 0.224178
61 242.76 0.230121
62 248.727 0.236187
63 254.062 0.239613
64 260.035 0.245925
65 265.52 0.250497
66 271.537 0.25664
67 277.147 0.272002
68 283.339 0.289199
69 288.966 0.299275
70 295.22 0.306879
71 301.012 0.313433
72 307.164 0.32282
73 312.931 0.33356
74 319.294 0.349645
75 325.163 0.36415
76 331.617 0.367129
77 337.54 0.382878
78 343.982 0.421736
79 350.041 0.429941
80 356.447 0.418926
81 362.569 0.441021
82 369.381 0.439384
83 375.489 0.437139
84 382.253 0.499928
85 388.451 0.511894
86 395.303 0.51776
87 401.522 0.521769
88 408.39 0.517282
89 414.675 0.508449
90 421.67 0.506265
91 428.04 0.515518
92 435.078 0.51927
93 441.569 0.539809
94 448.617 0.551006
95 455.306 0.577219
96 462.459 0.657157
97 469.092 0.691553
98 476.101 0.781625
99 482.922 0.801439
100 490.202 0.801507
101 497.041 0.79331
102 504.439 0.812168
103 511.252 0.859578
104 518.564 0.818517
105 525.52 0.753894
106 532.884 0.741722
107 539.911 0.776239
108 547.393 0.808567
109 554.48 0.816927
110 562.151 0.839887
111 569.221 0.821001
112 577.145 0.912059
113 584.303 0.946204
114 591.958 0.981304
115 599.481 1.01219
116 607.172 1.02123
117 614.337 0.972503
118 621.853 0.996936
119 629.233 0.985936
120 637.303 0.96142
121 644.736 0.929493
122 652.504 0.921363
123 660.096 0.916393
124 668.345 1.02727
125 675.721 1.00561
126 683.783 0.979512
127 691.769 0.971073
128 699.826 0.970701
129 707.554 1.07896
130 715.738 1.15577
131 723.348 1.23157
132 731.401 1.27614
133 739.136 1.30956
134 747.441 1.2447
135 755.596 1.24983
136 763.951 1.20719
137 771.684 1.26205
138 779.755 1.20378
139 788.08 1.2522
140 796.327 1.32747
141 804.251 1.26783
142 812.68 1.28139
143 820.651 1.27044
144 829.754 1.46553
145 837.709 1.54109
146 846.528 1.59887
147 854.793 1.61628
148 863.855 1.5297
149 872.077 1.5392
150 880.768 1.45055
151 888.9 1.43741
152 897.576 1.45287
153 905.652 1.55609
154 914.509 1.63768
155 923.053 1.75017
156 931.856 1.78465
157 940.337 1.73414
158 949.358 1.64964
159 957.706 1.74868
160 966.638 1.89499
161 975.305 1.85443
162 984.034 1.79976
163 992.625 1.76279
164 1001.34 1.94675
165 1010.12 2.06298
166 1019.42 1.87469
167 1027.94 1.91228
168 1036.93 1.88424
169 1045.8 1.96238
170 1055.26 2.00282
171 1064.21 1.99045
172 1073.34 1.98142
173 1082.36 2.08582
174 1091.47 2.27696
175 1100.24 2.30369
176 1110.22 2.23467
177 1119.21 2.14118
178 1129.11 2.13447
179 1138.29 2.16428
180 1148.28 2.23363
181 1157.62 2.1016
182 1166.98 2.23694
183 1176.07 2.34602
184 1184.79 2.26095
185 1193.98 2.36887
186 1203.38 2.48745
187 1212.39 2.57347
188 1222.22 2.62279
189 1231.33 2.7161
190 1240.95 2.584
191 1250 2.50848
192 1260 2.57977
193 1269.05 2.53017
194 1278.33 2.54056
195 1287.98 2.47119
196 1297.85 2.49589
197 1307.68 2.64259
198 1317.59 2.63517
199 1327 2.61399
200 1337.54 2.76912
201 1346.84 2.57862
202 1356.65 2.58299
203 1366.53 2.63526
204 1375.58 2.7556
205 1386.01 3.08783
206 1396.16 3.45086
207 1405.61 3.52532
208 1415.53 3.41765
209 1425.24 3.61918
210 1435.01 3.41174
211 1445.13 3.11552
212 1455.47 2.80417
213 1465.87 2.99303
214 1476.36 2.97132
215 1486.52 3.04234
216 1496.66 3.22152
217 1507.01 3.39067
218 1517.21 3.28854
219 1527.71 3.53518
220 1537.96 3.40018
221 1548.54 3.30672
222 1558.16 3.12678
223 1567.55 3.20759
224 1577.98 3.17215
