0.3 -1.041 98060000000 steps
142.596 0.290824 
n radius_n error   
0 0 0
1 1 5.22767e-09
2 2.66645 0.00018589
3 4.29878 0.000567266
4 6.63259 0.0008138
5 8.66589 0.00118198
6 11.4059 0.00170656
7 13.6701 0.00233089
8 16.7242 0.00300025
9 19.2586 0.00375375
10 22.5366 0.00428419
11 25.3311 0.00536423
12 28.8264 0.00610232
13 31.8448 0.00733914
14 35.5463 0.00902792
15 38.774 0.00995708
16 42.668 0.0116603
17 46.0848 0.0137558
18 50.1627 0.0144491
19 53.776 0.0150141
20 58.033 0.0168884
21 61.8314 0.0195563
22 66.2365 0.0190978
23 70.1975 0.0233506
24 74.767 0.0270341
25 78.9124 0.0258028
26 83.633 0.0273281
27 87.9108 0.0296273
28 92.7681 0.0311827
29 97.2074 0.0360394
30 102.228 0.0369405
31 106.82 0.043004
32 111.984 0.0440315
33 116.714 0.0512812
34 122.006 0.0502728
35 126.869 0.05217
36 132.293 0.0535467
37 137.326 0.0569928
38 142.864 0.0581663
39 147.99 0.0607113
40 153.653 0.0630896
41 158.915 0.065145
42 164.692 0.0686296
43 170.1 0.0721733
44 175.996 0.079656
45 181.524 0.0847734
46 187.557 0.0902615
47 193.221 0.0978784
48 199.341 0.0958168
49 205.153 0.0990668
50 211.453 0.0997887
51 217.345 0.104253
52 223.712 0.10056
53 229.742 0.104484
54 236.207 0.111883
55 242.29 0.114594
56 248.864 0.124659
57 255.074 0.131013
58 261.702 0.132159
59 268.009 0.134741
60 274.818 0.141365
61 281.266 0.141743
62 288.171 0.145904
63 294.772 0.155642
64 301.816 0.150953
65 308.535 0.161678
66 315.595 0.16482
67 322.397 0.167416
68 329.584 0.171179
69 336.454 0.178487
70 343.722 0.183719
71 350.697 0.188484
72 358.107 0.197503
73 365.218 0.20061
74 372.688 0.214192
75 379.814 0.221374
76 387.386 0.210305
77 394.679 0.219247
78 402.26 0.234402
79 409.53 0.233256
80 417.259 0.252625
81 424.687 0.265184
82 432.501 0.258262
83 439.97 0.277392
84 447.965 0.29518
85 455.618 0.307575
86 463.597 0.312214
87 471.259 0.353109
88 479.386 0.355068
89 487.271 0.357478
90 495.541 0.337215
91 503.493 0.3619
92 511.811 0.357802
93 519.796 0.364492
94 528.031 0.366655
95 536.089 0.364333
96 544.496 0.370981
97 552.694 0.379792
98 561.299 0.423256
99 569.369 0.390404
100 577.99 0.399381
101 586.414 0.471386
102 595.039 0.428499
103 603.429 0.45249
104 612.259 0.439917
105 620.657 0.446772
106 629.493 0.461832
107 638.004 0.457478
108 646.855 0.477106
109 655.43 0.522632
110 664.596 0.52635
111 673.26 0.607968
112 682.073 0.582416
113 690.708 0.664876
114 699.826 0.684734
115 708.717 0.754052
116 717.722 0.800749
117 726.812 0.778847
118 736.118 0.925965
119 745.349 0.890077
120 754.923 0.823348
121 764.284 0.8088
122 773.657 0.792302
123 782.765 0.74231
124 792.263 0.720265
125 801.513 0.735737
126 811.199 0.838492
127 820.673 0.787482
128 830.377 0.708019
129 839.862 0.735212
130 849.603 0.791957
131 858.969 0.853972
132 868.794 0.795766
133 878.445 0.821885
134 888.361 0.79335
135 897.828 0.801246
136 907.82 0.818442
137 917.537 0.854111
138 927.316 0.890848
139 936.86 1.02829
140 946.963 0.993314
141 956.547 0.972215
142 966.31 1.05963
143 976.33 1.02389
144 986.544 1.0002
145 996.835 0.936067
146 1007.19 0.963492
147 1016.96 0.981135
148 1027.19 0.953501
149 1037.43 0.997147
150 1047.87 1.01286
151 1058.22 1.0357
152 1068.8 1.12042
153 1079.15 1.13432
154 1089.65 1.07778
155 1099.77 1.14517
156 1110.36 1.12302
157 1120.61 1.16952
158 1131.37 1.20003
159 1141.64 1.2142
160 1152.59 1.17427
161 1163.23 1.16319
162 1174.32 1.19066
163 1184.78 1.23484
164 1195.29 1.21824
165 1205.81 1.26703
166 1216.74 1.2791
167 1226.92 1.2679
168 1237.78 1.31368
169 1248.91 1.39205
170 1259.82 1.34543
171 1270.52 1.36578
172 1281.76 1.38622
173 1292.6 1.40219
174 1303.83 1.4119
175 1314.98 1.47179
176 1326.33 1.48714
177 1336.98 1.45156
178 1348.39 1.47097
179 1359.35 1.54613
180 1370.95 1.6315
181 1381.98 1.54013
182 1393.25 1.6354
183 1403.88 1.65696
184 1415.36 1.66318
185 1426.75 1.68918
186 1438.07 1.63052
187 1449 1.66932
188 1460.43 1.67392
189 1471.87 1.65602
190 1483.65 1.73869
191 1495.22 1.75897
192 1507.12 1.96661
193 1518.35 1.82213
194 1530.41 1.84031
195 1542.07 1.81268
196 1554.28 1.85386
197 1565.37 1.97118
198 1577.58 1.98755
199 1589.48 2.13176
200 1601.52 1.98183
201 1613.84 1.96783
202 1625.8 2.09166
203 1637.21 2.16916
204 1649.08 2.28381
205 1661.18 2.17478
206 1673.89 2.21384
207 1685.78 2.27761
208 1698.03 2.31205
209 1710.24 2.59559
210 1722.49 2.4837
211 1734.71 2.44099
212 1746.94 2.44403
213 1759.54 2.59327
214 1772.02 2.71187
215 1783.99 2.59388
216 1796.37 2.95093
217 1808.66 2.83208
218 1820.79 2.67754
219 1832.26 2.93687
220 1845.89 2.95654
221 1857.84 2.69926
222 1870.44 2.8901
