0.2 -1.01 22580000000 steps
573.768 7.91679 
n radius_n error   
0 0 0
1 1 4.80933e-09
2 2.66698 0.000895497
3 4.38732 0.00240305
4 6.76946 0.00433901
5 8.97847 0.00621793
6 11.8038 0.00880602
7 14.3318 0.0121709
8 17.5143 0.0171732
9 20.3553 0.0213404
10 23.8352 0.0252895
11 26.9934 0.0294325
12 30.7228 0.0373977
13 34.1364 0.0513005
14 38.1322 0.0500074
15 41.8102 0.0598077
16 46.0019 0.0571334
17 49.875 0.0695523
18 54.2957 0.0687774
19 58.4404 0.087172
20 63.0524 0.0959769
21 67.3639 0.0971496
22 72.1467 0.0971199
23 76.719 0.110938
24 81.7464 0.12187
25 86.5432 0.128802
26 91.7135 0.165674
27 96.6525 0.178079
28 102.021 0.162807
29 107.118 0.169953
30 112.744 0.188447
31 118.063 0.202102
32 123.823 0.248865
33 129.144 0.260424
34 134.925 0.27934
35 140.408 0.267095
36 146.398 0.278246
37 152.055 0.296366
38 158.172 0.28848
39 164.101 0.303635
40 170.226 0.321778
41 176.275 0.335979
42 182.85 0.342769
43 189.077 0.344638
44 195.564 0.398598
45 201.748 0.432313
46 208.592 0.442191
47 215.19 0.443277
48 222.171 0.435832
49 229.137 0.487421
50 236.364 0.526972
51 243.358 0.524516
52 250.597 0.563941
53 257.223 0.602413
54 264.738 0.574424
55 271.849 0.596197
56 279.322 0.625515
57 286.548 0.668513
58 293.942 0.664301
59 301.235 0.745671
60 308.995 0.780526
61 316.468 0.80868
62 324.392 0.800867
63 331.812 0.900539
64 340.075 0.942127
65 347.636 0.999218
66 355.893 0.970874
67 363.681 0.963646
68 371.773 0.939851
69 379.699 0.877129
70 388.477 0.943927
71 396.767 1.08429
72 405.171 1.12237
73 413.228 1.13698
74 421.888 1.22347
75 430.337 1.22496
76 438.95 1.25986
77 447.129 1.37758
78 455.84 1.40963
79 463.787 1.42093
80 472.566 1.49861
81 481.202 1.52106
82 489.99 1.5123
83 498.471 1.46327
84 507.43 1.35554
85 515.965 1.47209
86 525.315 1.5422
87 534.455 1.56859
88 543.33 1.58582
89 552.415 1.58807
90 561.831 1.5286
91 571.481 1.61993
92 580.665 1.65469
93 589.591 2.04889
94 599.17 2.18992
95 608.626 2.16585
96 618.174 2.20364
97 627.082 2.16899
98 636.774 2.27532
99 646.121 2.42775
100 656.032 2.3299
101 665.606 2.39079
102 675.815 2.40393
103 685.845 2.30322
104 695.828 2.343
105 706.046 2.44076
106 716.492 2.47702
107 726.154 2.4219
108 736.095 2.57101
109 746.924 2.36872
110 757.438 2.3818
111 768.031 2.41229
112 778.244 2.48763
113 788.521 2.58772
114 798.794 2.70238
115 809.743 2.85195
116 819.995 2.90965
117 829.593 2.76547
118 840.041 2.74559
119 850.788 2.82986
120 860.952 3.21671
121 871.412 3.16174
122 882.728 3.23327
123 893.226 3.21506
124 904.242 3.31029
125 914.991 3.26678
126 925.924 3.01115
127 936.899 3.16606
128 948.36 3.13035
129 959.789 3.36518
130 971.216 3.42791
131 982.011 3.55322
132 993.911 3.40603
133 1005.05 3.45431
134 1016 3.5598
135 1026.39 3.44985
136 1037.63 3.45806
137 1047.97 3.51609
138 1059.8 3.36093
139 1071.05 3.52251
140 1082.78 3.52646
141 1094.04 3.49311
142 1105.74 3.64327
143 1116.45 3.79921
144 1128.23 3.77187
145 1140.3 3.82459
146 1152.06 3.91646
147 1163.77 3.87469
148 1175.51 4.12841
149 1188.07 4.13089
150 1200.03 4.13083
151 1211.81 4.18279
152 1223.83 4.24442
153 1235.99 3.9976
154 1248.52 4.2335
155 1261.1 4.29255
156 1273.73 4.36375
157 1285.86 4.43065
158 1297.94 4.49133
159 1309.77 4.51737
160 1322.26 4.64687
161 1334.22 4.49545
162 1347.07 4.66817
163 1360.15 4.68506
164 1372.1 4.70624
165 1384.68 4.72878
166 1397.8 4.96821
167 1409.54 4.9239
168 1421.67 5.01267
169 1434.04 5.18288
170 1446.82 5.35375
171 1458.98 5.70504
172 1471.57 5.84649
173 1483.92 5.8019
174 1496.55 5.73992
175 1508.64 5.6507
176 1522.02 5.622
177 1535.23 5.70075
178 1547.99 5.89479
179 1559.92 6.22081
180 1573.52 6.26374
181 1586.31 6.35098
182 1599.84 6.36657
183 1612.95 6.76061
184 1626.72 6.98318
185 1639.43 6.98679
186 1652.28 7.1482
187 1664.91 6.98859
188 1678.5 7.04864
189 1692.72 7.57512
190 1706.55 7.13117
191 1720.54 7.10835
192 1734.39 7.34553
193 1747.57 7.87506
194 1760.9 7.90945
195 1774.59 8.2994
196 1788.19 8.09046
197 1802.26 8.45755
198 1816.08 8.48047
199 1829.86 8.77404
200 1842.96 8.37626
201 1855.92 8.42759
202 1869.76 8.41369
203 1882.61 8.41076
204 1895.63 8.06153
205 1909.23 7.85083
206 1922.51 7.72104
207 1937.58 7.46858
208 1952.89 7.65148
209 1966.7 7.74005
210 1981.28 7.55388
211 1994.5 7.64091
212 2008.13 7.79635
213 2022.37 7.93141
214 2037.1 7.91724
215 2050.89 7.98127
216 2065 8.21169
217 2078.38 8.4088
218 2092.53 8.14849
219 2106.5 8.39979
220 2120.88 8.27463
221 2135.89 8.38581
222 2150.92 8.46529
223 2164.58 8.54554
