N J h mean_R_sq err_mean_R_sq mean_R_gyr_sq err_mean_R_gyr_sq mean_e err_mean_e mean_e_sq err_mean_e_sq mean_e_fourth err_mean_e_fourth mean_m err_mean_m mean_m_sq err_mean_m_sq mean_m_fourth err_mean_m_fourth steps
6.000000000000000000e+03 8.399999999999999689e-01 0.000000000000000000e+00 1.551100000000000000e+04 7.730000000000000000e+02 3.506909999999999854e+03 4.423269999999999982e+02 -1.558670000000000000e+00 1.712140000000000016e-03 2.431070000000000064e+00 5.297660000000000043e-03 5.925760000000000360e+00 2.541279999999999928e-02 5.638710000000000111e-01 9.594580000000000122e-03 3.806889999999999996e-01 9.327379999999999699e-03 2.088520000000000099e-01 6.870359999999999835e-03 2.000000000000000000e+11
7.000000000000000000e+03 8.309999999999999609e-01 0.000000000000000000e+00 4.912600000000000000e+04 6.290000000000000000e+02 8.010750000000000000e+03 2.643340000000000032e+02 -1.463920000000000110e+00 6.109520000000000011e-04 2.144690000000000207e+00 1.794969999999999899e-03 4.613610000000000433e+00 7.767109999999999813e-03 2.562590000000000146e-01 1.484300000000000029e-03 9.886540000000000605e-02 1.051290000000000080e-03 2.483739999999999906e-02 4.962700000000000444e-04 1.572000000000000000e+12
7.000000000000000000e+03 8.329999999999999627e-01 0.000000000000000000e+00 4.145000000000000000e+04 2.567000000000000000e+03 7.336539999999999964e+03 9.742329999999999472e+02 -1.487929999999999975e+00 5.745249999999999923e-04 2.215749999999999886e+00 1.709009999999999956e-03 4.925600000000000200e+00 7.593230000000000292e-03 3.166169999999999818e-01 2.096269999999999904e-03 1.451139999999999930e-01 1.744069999999999909e-03 4.732349999999999751e-02 9.951310000000000103e-04 1.406000000000000000e+12
7.000000000000000000e+03 8.349999999999999645e-01 0.000000000000000000e+00 3.005900000000000000e+04 5.050000000000000000e+02 5.496119999999999891e+03 3.197930000000000064e+02 -1.512939999999999952e+00 6.902230000000000084e-04 2.290830000000000144e+00 2.077760000000000110e-03 5.264809999999999768e+00 9.436879999999999921e-03 3.917309999999999959e-01 2.643579999999999975e-03 2.092829999999999968e-01 2.304660000000000042e-03 8.425470000000000181e-02 1.426109999999999964e-03 1.390000000000000000e+12
7.000000000000000000e+03 8.359999999999999654e-01 0.000000000000000000e+00 2.723900000000000000e+04 4.810000000000000000e+02 5.208100000000000364e+03 4.803039999999999736e+02 -1.524229999999999974e+00 6.256649999999999668e-04 2.325120000000000076e+00 1.901109999999999909e-03 5.423140000000000072e+00 8.797030000000000821e-03 4.283299999999999885e-01 2.743880000000000190e-03 2.431929999999999925e-01 2.488279999999999832e-03 1.063700000000000062e-01 1.579059999999999969e-03 1.514000000000000000e+12
7.000000000000000000e+03 8.379999999999999671e-01 0.000000000000000000e+00 2.116100000000000000e+04 4.020000000000000000e+02 4.343680000000000291e+03 3.877330000000000041e+02 -1.547050000000000036e+00 6.609950000000000504e-04 2.395039999999999836e+00 2.031999999999999952e-03 5.752189999999999692e+00 9.622739999999999419e-03 5.094159999999999799e-01 3.230949999999999794e-03 3.227260000000000129e-01 3.162250000000000130e-03 1.625880000000000103e-01 2.253230000000000163e-03 1.361000000000000000e+12
7.500000000000000000e+03 8.209999999999999520e-01 0.000000000000000000e+00 9.680000000000000000e+04 1.728130000000000109e+03 1.459679999999999927e+04 4.749739999999999895e+02 6.194579999999999531e-01 1.071969999999999998e-03 3.846189999999999887e-01 1.326240000000000014e-03 1.492900000000000060e-01 1.024699999999999916e-03 1.381179999999999908e-01 2.825409999999999987e-03 3.024970000000000089e-02 1.204149999999999969e-03 2.764589999999999929e-03 2.360779999999999986e-04 8.800000000000000000e+11
7.500000000000000000e+03 8.239999999999999547e-01 0.000000000000000000e+00 8.690069999999999709e+04 1.548049999999999955e+03 1.394979999999999927e+04 1.087789999999999964e+03 5.992079999999999629e-01 8.641159999999999510e-04 3.600929999999999964e-01 1.031309999999999909e-03 1.311559999999999948e-01 7.422509999999999785e-04 1.508569999999999911e-01 2.544719999999999881e-03 3.550459999999999727e-02 1.282429999999999985e-03 3.671579999999999809e-03 2.883329999999999921e-04 8.250000000000000000e+11
7.500000000000000000e+03 8.269999999999999574e-01 0.000000000000000000e+00 7.182000000000000000e+04 3.583000000000000000e+03 1.390289999999999964e+04 2.926849999999999909e+03 -1.427570000000000006e+00 1.652590000000000005e-03 2.039280000000000204e+00 4.723680000000000066e-03 4.169520000000000337e+00 1.933769999999999933e-02 1.895270000000000010e-01 2.997979999999999916e-03 5.590219999999999911e-02 1.878459999999999982e-03 8.964810000000000140e-03 6.821219999999999584e-04 2.040000000000000000e+11
7.500000000000000000e+03 8.299999999999999600e-01 0.000000000000000000e+00 6.487300000000000000e+04 8.321000000000000000e+03 1.476100000000000000e+04 5.873630000000000109e+03 -1.455640000000000045e+00 1.720720000000000019e-03 2.120369999999999866e+00 4.933520000000000266e-03 4.508429999999999715e+00 2.037869999999999959e-02 2.330409999999999981e-01 3.715270000000000118e-03 8.286129999999999884e-02 2.535110000000000141e-03 1.831309999999999882e-02 1.040899999999999985e-03 2.010000000000000000e+11
7.500000000000000000e+03 8.329999999999999627e-01 0.000000000000000000e+00 4.926000000000000000e+04 7.677000000000000000e+03 1.256010000000000036e+04 5.517149999999999636e+03 -1.487260000000000026e+00 1.830459999999999900e-03 2.213670000000000027e+00 5.428520000000000047e-03 4.915630000000000166e+00 2.398230000000000153e-02 3.049689999999999901e-01 6.686400000000000329e-03 1.359229999999999883e-01 5.842049999999999674e-03 4.287269999999999970e-02 3.363399999999999897e-03 1.950000000000000000e+11
7.500000000000000000e+03 8.359999999999999654e-01 0.000000000000000000e+00 3.294100000000000000e+04 2.679000000000000000e+03 1.052379999999999927e+04 4.982659999999999854e+03 -1.525779999999999914e+00 1.958300000000000058e-03 2.329769999999999897e+00 5.933260000000000096e-03 5.444160000000000110e+00 2.730170000000000166e-02 4.258279999999999843e-01 9.007730000000000251e-03 2.412769999999999915e-01 7.770879999999999975e-03 1.049699999999999939e-01 4.733620000000000015e-03 1.860000000000000000e+11
