epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1.5 -2.00622 9.96145 0.0425979 16.0114 0.0537574 2.64898 0.022865 135.944 278.955 25.5411 1 
1.5 -2.00122 10.7196 0.0639887 17.0091 0.0699647 2.9621 0.0391092 160.125 317.831 31.5165 1 
1.5 -1.99622 11.6119 0.0956508 18.1717 0.115116 3.33883 0.0506562 188.759 362.855 38.7993 1 
1.5 -1.99122 12.7071 0.0992428 19.5868 0.11201 3.81061 0.0577583 235.901 434.815 51.026 1 
1.5 -1.98622 13.8493 0.174805 21.0731 0.2183 4.28982 0.0872177 279.236 502.842 61.661 1 
1.5 -1.98122 15.605 0.150061 23.226 0.167653 5.12727 0.0881298 378.463 638.706 91.7651 1 
1.5 -1.97622 17.7587 0.327448 25.9226 0.373194 6.11508 0.184437 544.99 875.24 137.576 1 
1.5 -1.97122 22.7079 0.929562 31.6011 1.0277 8.77416 0.53883 1168.11 1633.67 349.411 1 
1.5 -1.96622 44.1959 11.6092 54.2205 11.8497 21.7857 7.31898 5739.65 6467.66 2149.1 1 
1.5 -1.96122 37.2768 2.8883 47.9852 2.95664 16.7486 1.80751 2752.39 3423.31 928.815 1 
1.5 -1.95622 273.654 113.616 291.706 116.097 162.414 70.7751 108659 113727 42216.3 1 
1.5 -1.95122 1553.53 299.586 1611.38 307.952 946.606 184.41 700463 738715 266233 1 
