epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1.2 -1.92525 8.92215 0.010438 15.463 0.0166636 1.42863 0.0029907 78.6795 218.013 6.18786 1 
1.2 -1.92025 9.32259 0.00963307 16.0782 0.015654 1.51955 0.00293028 85.3343 234.207 6.78334 1 
1.2 -1.91525 9.74738 0.0106214 16.7251 0.0177103 1.61959 0.00297542 92.884 252.153 7.5033 1 
1.2 -1.91025 10.2704 0.0130117 17.5311 0.0207358 1.73993 0.00371132 102.9 276.591 8.38519 1 
1.2 -1.90525 10.8048 0.0128064 18.3426 0.0202637 1.86936 0.00390213 112.952 300.167 9.36534 1 
1.2 -1.90025 11.3794 0.0140712 19.2151 0.0221087 2.00705 0.00437753 124.62 327.596 10.4777 1 
1.2 -1.89525 12.056 0.0167407 20.2419 0.0260658 2.17266 0.00532908 139.484 362.774 11.8426 1 
1.2 -1.89025 12.7807 0.0177538 21.3376 0.0275807 2.35085 0.00552298 155.622 400.091 13.4195 1 
1.2 -1.88525 13.6195 0.0197102 22.6081 0.0306263 2.55668 0.00606423 175.351 446.201 15.2291 1 
1.2 -1.88025 14.5636 0.0241325 24.0217 0.0407652 2.80129 0.00723662 199.205 499.799 17.7844 1 
1.2 -1.87525 15.6283 0.031172 25.626 0.0484423 3.06743 0.00977591 228.855 568.831 20.4076 1 
1.2 -1.87025 16.8487 0.031952 27.4439 0.048869 3.38944 0.0099856 263.002 644.912 23.963 1 
1.2 -1.86525 18.2349 0.0464291 29.5076 0.0685003 3.75417 0.0161547 305.139 739.579 28.126 1 
1.2 -1.86025 19.8989 0.0418206 31.9912 0.0626097 4.18803 0.0141289 361.943 867.652 33.616 1 
1.2 -1.85525 21.9787 0.056418 35.064 0.0835896 4.75989 0.018641 435.724 1029.85 41.1803 1 
1.2 -1.85025 24.4493 0.0836618 38.7059 0.121206 5.44277 0.0290181 536.447 1249.18 51.7666 1 
1.2 -1.84525 27.3735 0.104986 43.0025 0.149365 6.25694 0.0389062 670.687 1541.81 65.3635 1 
1.2 -1.84025 31.0057 0.147148 48.2983 0.220065 7.29989 0.0441132 843.435 1908.26 84.2366 1 
1.2 -1.83525 36.0578 0.141694 55.6995 0.205333 8.7295 0.0483095 1128.35 2519.76 113.414 1 
1.2 -1.83025 42.9545 0.275314 65.6981 0.400982 10.766 0.0885932 1604.73 3522.47 163.762 1 
1.2 -1.82525 52.2131 0.300647 79.0446 0.434089 13.5477 0.10006 2344.72 5069.86 242.688 1 
1.2 -1.82025 67.5321 0.744158 101.004 1.06972 18.2673 0.245687 3806.93 8061.71 406.045 1 
1.2 -1.81525 95.6595 1.29968 140.935 1.78597 27.2591 0.508488 8018.84 16424.9 913.223 1 
1.2 -1.81025 149.98 4.03378 218.425 5.57994 44.2291 1.44498 19106.8 38840.2 2122.79 1 
1.2 -1.80525 357.711 18.7943 510.995 26.5232 112.301 6.27347 102840 204767 11573.7 1 
