epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.1 -1.80634 8.95443 0.00838009 16.141 0.0151056 0.337484 0.000528385 68.8145 223.405 0.535716 1 
0.1 -1.80134 9.30118 0.00715825 16.7193 0.0128604 0.353215 0.000501064 73.8157 238.313 0.565974 1 
0.1 -1.79634 9.68606 0.00799487 17.3624 0.0143294 0.371138 0.000644785 79.7397 256.005 0.600435 1 
0.1 -1.79134 10.1145 0.00909161 18.0795 0.0162352 0.390141 0.000657362 86.6323 276.583 0.638782 1 
0.1 -1.78634 10.564 0.0117913 18.8298 0.0209822 0.411307 0.000956287 93.9901 298.394 0.681166 1 
0.1 -1.78134 11.0507 0.0103125 19.6416 0.0183268 0.433577 0.000677637 102.727 324.3 0.72847 1 
0.1 -1.77634 11.5961 0.0112981 20.5529 0.0200263 0.456844 0.000751576 112.232 352.324 0.774288 1 
0.1 -1.77134 12.182 0.0150396 21.5301 0.0265629 0.484607 0.0010814 123.702 386.133 0.833746 1 
0.1 -1.76634 12.8289 0.0191268 22.6088 0.0337007 0.514775 0.00114247 135.922 421.876 0.900508 1 
0.1 -1.76134 13.5596 0.0144596 23.8282 0.0254047 0.548674 0.00101685 151.268 466.843 0.974238 1 
0.1 -1.75634 14.3567 0.0230432 25.1567 0.0403565 0.585419 0.00130524 169.169 519.116 1.05876 1 
0.1 -1.75134 15.2548 0.0180563 26.6537 0.0315486 0.625801 0.00121703 189.819 579.171 1.15099 1 
0.1 -1.74634 16.2968 0.0220104 28.3926 0.0382573 0.67233 0.00208146 217.585 660.108 1.2628 1 
0.1 -1.74134 17.408 0.0330575 30.2407 0.0574177 0.725846 0.00188895 245.763 741.296 1.3986 1 
0.1 -1.73634 18.7393 0.0308114 32.4592 0.053354 0.786553 0.00184874 282.551 847.372 1.54896 1 
0.1 -1.73134 20.2641 0.0391326 34.9984 0.0675971 0.857027 0.0019634 328.294 978.857 1.73601 1 
0.1 -1.72634 22.0066 0.045653 37.8971 0.0786182 0.938713 0.00234327 385.671 1143.25 1.96725 1 
0.1 -1.72134 24.142 0.0457103 41.4532 0.0784817 1.03402 0.00267349 463.875 1367.18 2.23335 1 
0.1 -1.71634 26.6307 0.0572641 45.5921 0.0980261 1.15223 0.00411213 557.105 1632.31 2.60327 1 
0.1 -1.71134 29.826 0.0770813 50.913 0.131529 1.29484 0.00437674 697.109 2030.69 3.05285 1 
0.1 -1.70634 33.543 0.0934402 57.0894 0.158809 1.46335 0.00683797 871.557 2524.12 3.61681 1 
0.1 -1.70134 38.8792 0.133262 65.9758 0.226072 1.71067 0.00757326 1180.5 3398.64 4.58983 1 
0.1 -1.69634 45.6884 0.176849 77.3006 0.299184 2.02532 0.00903339 1599.71 4578.45 5.89574 1 
0.1 -1.69134 55.4981 0.229421 93.6196 0.38701 2.46647 0.0120665 2344.52 6670.89 7.89772 1 
0.1 -1.68634 70.5634 0.378427 118.679 0.636411 3.14625 0.0198194 3827.12 10824.9 11.7507 1 
0.1 -1.68134 95.2456 0.716531 159.711 1.20142 4.29353 0.0365089 6751.47 18982.6 19.3937 1 
0.1 -1.67634 150.92 2.91804 252.311 4.87835 6.83516 0.134615 16507 46133.8 43.3871 1 
0.1 -1.67134 359.246 10.7451 598.776 17.9133 16.4676 0.472855 97233.2 270109 229.6 1 
