epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1.3 -1.94966 8.94955 0.0114803 15.2777 0.0174457 1.66989 0.00415986 84.5706 219.712 8.79499 1 
1.3 -1.94466 9.3782 0.0124347 15.9164 0.0189696 1.78539 0.0042733 92.0967 236.766 9.66827 1 
1.3 -1.93966 9.86602 0.0132709 16.6395 0.020076 1.92096 0.00471743 101.728 257.863 10.909 1 
1.3 -1.93466 10.4344 0.0219363 17.4791 0.0334195 2.08296 0.00721632 113.798 284.33 12.4791 1 
1.3 -1.92966 10.992 0.015663 18.3012 0.0230034 2.23827 0.00591339 125.042 308.693 13.8685 1 
1.3 -1.92466 11.6763 0.0180485 19.3024 0.0266729 2.43884 0.00669948 141.243 343.157 16.0602 1 
1.3 -1.91966 12.4853 0.0223601 20.4814 0.032315 2.68168 0.00877198 162.27 387.105 19.0219 1 
1.3 -1.91466 13.3104 0.0260114 21.6755 0.0365315 2.93035 0.0109376 182.642 429.597 21.8518 1 
1.3 -1.90966 14.3162 0.0285502 23.1421 0.0412348 3.22844 0.0110633 210.621 489.243 25.3674 1 
1.3 -1.90466 15.4042 0.0329497 24.6911 0.0471521 3.57588 0.0130141 243.064 553.229 30.3967 1 
1.3 -1.89966 16.7161 0.0398607 26.5603 0.0558476 3.99578 0.0162072 285.345 637.693 36.7103 1 
1.3 -1.89466 18.2527 0.0506433 28.7447 0.0696566 4.49076 0.0215094 338.558 743.892 44.6063 1 
1.3 -1.88966 20.0933 0.0679771 31.3529 0.0946249 5.08976 0.0267229 407.94 881.506 54.5608 1 
1.3 -1.88466 22.5049 0.093425 34.7233 0.124158 5.91598 0.0415317 515.75 1086.63 71.6681 1 
1.3 -1.87966 25.4854 0.126139 38.8535 0.160481 6.96186 0.0616587 662.019 1361.25 95.6891 1 
1.3 -1.87466 29.212 0.151245 44.0077 0.200856 8.27299 0.066505 864.227 1740.66 128.294 1 
1.3 -1.86966 34.1646 0.227271 50.8256 0.29898 10.0389 0.103412 1192.97 2355.22 179.426 1 
1.3 -1.86466 41.4685 0.373205 60.6665 0.481482 12.8139 0.170323 1762.81 3368.09 281.018 1 
1.3 -1.85966 51.3512 0.620326 73.9211 0.814193 16.5959 0.262135 2593.37 4825.59 427.148 1 
1.3 -1.85466 70.2488 1.28933 98.8334 1.56858 24.1956 0.64027 4786.27 8538.83 844.085 1 
1.3 -1.84966 114.05 4.51865 155.468 5.53465 42.6811 2.17479 11857.5 20235.2 2230.1 1 
1.3 -1.84466 271.449 30.481 356.514 38.4275 110.936 13.8051 63690.5 104327 12480.6 1 
1.3 -1.83966 1984.79 192.855 2532.06 247.539 860.983 82.6737 756866 1.2345e+06 143680 1 
