epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.2 -1.81129 8.94818 0.00693948 16.1318 0.0125091 0.379903 0.000538853 68.7505 223.004 0.633214 1 
0.2 -1.80629 9.30139 0.0072064 16.7214 0.012948 0.397901 0.000546312 73.992 238.675 0.669945 1 
0.2 -1.80129 9.69906 0.00866556 17.3873 0.0155734 0.417423 0.00057951 80.1807 257.201 0.711998 1 
0.2 -1.79629 10.0932 0.00989865 18.0427 0.0177209 0.438093 0.000718291 86.2417 275.099 0.753634 1 
0.2 -1.79129 10.535 0.0108143 18.779 0.0193002 0.460921 0.000779303 93.6166 296.947 0.805327 1 
0.2 -1.78629 11.0564 0.00980141 19.6522 0.017423 0.488285 0.000792977 102.891 324.519 0.865016 1 
0.2 -1.78129 11.5827 0.0127999 20.5289 0.0226543 0.515566 0.000856474 111.877 350.875 0.923854 1 
0.2 -1.77629 12.1689 0.0142616 21.5062 0.0252065 0.546161 0.000896849 123.192 384.17 0.994164 1 
0.2 -1.77129 12.8309 0.0231637 22.6111 0.0407657 0.580336 0.00153027 136.456 423.144 1.07273 1 
0.2 -1.76629 13.5207 0.0150243 23.758 0.0263884 0.616817 0.00126112 150.326 463.487 1.15809 1 
0.2 -1.76129 14.3056 0.0182769 25.0649 0.0319552 0.657107 0.00143007 168.231 515.754 1.25883 1 
0.2 -1.75629 15.2276 0.0184456 26.603 0.0322013 0.704979 0.00140127 189.775 578.489 1.37707 1 
0.2 -1.75129 16.2508 0.0270427 28.3079 0.0472516 0.759524 0.00164286 214.198 649.169 1.51488 1 
0.2 -1.74629 17.3941 0.0251045 30.2115 0.0435836 0.818272 0.00170668 243.359 733.328 1.67248 1 
0.2 -1.74129 18.6877 0.0271281 32.3639 0.0469973 0.884277 0.00179635 281.038 842.016 1.85608 1 
0.2 -1.73629 20.2521 0.0548284 34.9703 0.0946469 0.966122 0.0028722 329.59 981.787 2.08574 1 
0.2 -1.73129 21.9958 0.0513446 37.8697 0.0884564 1.05661 0.00274053 384.337 1138.25 2.35833 1 
0.2 -1.72629 24.1324 0.0454675 41.4261 0.0780097 1.16663 0.00314129 461.783 1359.69 2.70087 1 
0.2 -1.72129 26.5841 0.0572153 45.5 0.0979331 1.29435 0.0035243 555.01 1624.68 3.1261 1 
0.2 -1.71629 29.7881 0.0679999 50.8323 0.116007 1.46336 0.00446129 697.284 2029.26 3.72461 1 
0.2 -1.71129 33.6424 0.0912095 57.2386 0.155247 1.6658 0.00534585 877.758 2539.33 4.49845 1 
0.2 -1.70629 38.8403 0.11625 65.8847 0.197125 1.94003 0.00725159 1179.76 3392.84 5.69598 1 
0.2 -1.70129 45.6028 0.196265 77.1263 0.332099 2.28604 0.0112182 1606.35 4593.01 7.21792 1 
0.2 -1.69629 54.9969 0.246775 92.7346 0.416046 2.78033 0.0149215 2317.47 6586.8 9.82255 1 
0.2 -1.69129 70.1554 0.384422 117.941 0.646243 3.55844 0.0217524 3760.17 10624.8 14.6618 1 
0.2 -1.68629 95.1002 0.708011 159.398 1.18666 4.84128 0.0392967 6831.91 19190.9 24.2424 1 
0.2 -1.68129 150.48 2.48316 251.459 4.14948 7.70271 0.128462 17224.1 48097.7 54.8117 1 
0.2 -1.67629 335.093 8.76668 558.245 14.5959 17.3377 0.506702 92095.2 255476 287.537 1 
