epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0 -1.80204 8.95939 0.00672808 16.1452 0.0121243 0.300638 0.000426667 69.0503 224.231 0.458554 1 
0 -1.79704 9.3009 0.00749711 16.7141 0.0134726 0.314396 0.000510844 73.7966 238.316 0.482049 1 
0 -1.79204 9.68633 0.00764879 17.3583 0.0137069 0.33019 0.000500016 79.6145 255.675 0.510731 1 
0 -1.78704 10.1139 0.00953648 18.0739 0.0170421 0.347338 0.000585926 86.7489 277.034 0.542686 1 
0 -1.78204 10.5369 0.0108325 18.7772 0.019304 0.364719 0.000764346 93.3135 296.333 0.57636 1 
0 -1.77704 11.0677 0.0121276 19.6677 0.0215513 0.385483 0.00061798 102.971 325.169 0.616247 1 
0 -1.77204 11.5839 0.0103717 20.5271 0.018379 0.406813 0.00066394 111.867 351.276 0.656748 1 
0 -1.76704 12.1801 0.0152799 21.5227 0.0270002 0.431242 0.000907713 123.347 385.142 0.705519 1 
0 -1.76204 12.813 0.0182597 22.577 0.0321743 0.457865 0.000907753 135.658 421.189 0.759875 1 
0 -1.75704 13.5419 0.0149897 23.7937 0.0263376 0.487248 0.000984694 150.746 465.381 0.822972 1 
0 -1.75204 14.3429 0.0169466 25.1293 0.0296911 0.519053 0.000949779 168.808 518.183 0.887883 1 
0 -1.74704 15.2246 0.018063 26.5979 0.0315568 0.554476 0.00104902 189.255 577.635 0.965292 1 
0 -1.74204 16.2372 0.0217594 28.2859 0.0379058 0.59501 0.00122219 213.798 648.815 1.0548 1 
0 -1.73704 17.3776 0.023569 30.1856 0.0409403 0.644374 0.00133068 244.003 736.232 1.17057 1 
0 -1.73204 18.7066 0.0275277 32.4006 0.0476791 0.695767 0.00154658 282.094 846.273 1.28601 1 
0 -1.72704 20.2364 0.0385791 34.9492 0.0666278 0.757025 0.00224789 327.924 978.09 1.43581 1 
0 -1.72204 21.9848 0.0384817 37.8587 0.0662671 0.827443 0.00223922 385.402 1142.88 1.61918 1 
0 -1.71704 24.1127 0.0509175 41.4025 0.0874275 0.914832 0.00258499 460.63 1358.04 1.83922 1 
0 -1.71204 26.6191 0.0570079 45.573 0.0975998 1.01785 0.00294996 558.216 1636.18 2.13504 1 
0 -1.70704 29.7263 0.0669269 50.744 0.114247 1.14423 0.0050361 690.667 2012.6 2.51307 1 
0 -1.70204 33.7554 0.0924843 57.453 0.157412 1.30849 0.00446149 888.449 2573.79 3.0381 1 
0 -1.69704 38.9518 0.133459 66.1028 0.226486 1.5132 0.0056126 1182.85 3406.56 3.73815 1 
0 -1.69204 45.9309 0.162928 77.7171 0.275681 1.79761 0.00794815 1641.28 4698.99 4.84664 1 
0 -1.68704 55.7195 0.24644 94.0011 0.415755 2.20358 0.0123999 2384.79 6787.37 6.59311 1 
0 -1.68204 70.2533 0.438873 118.169 0.738202 2.76692 0.0206293 3730.19 10553.7 9.25051 1 
0 -1.67704 97.1138 0.899643 162.864 1.50874 3.84614 0.0355106 7387.86 20778.1 16.4721 1 
0 -1.67204 154.92 1.83997 259.032 3.0765 6.1885 0.0789609 17969.1 50236.7 36.7726 1 
0 -1.66704 343.547 12.8362 572.707 21.3985 13.6964 0.522617 85665.3 238066 149.701 1 
