epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1.1 -1.90447 8.90681 0.00845198 15.6094 0.0141601 1.23033 0.00203473 75.0017 217.32 4.56352 1 
1.1 -1.89947 9.30605 0.0101805 16.239 0.0161719 1.3069 0.00300061 81.3802 234.05 4.96235 1 
1.1 -1.89447 9.72627 0.00965389 16.9009 0.0160161 1.38657 0.0022563 88.3749 252.063 5.41729 1 
1.1 -1.88947 10.1892 0.0124915 17.6273 0.0208917 1.47716 0.00267303 96.3397 272.443 5.95231 1 
1.1 -1.88447 10.6863 0.0113199 18.4043 0.018934 1.57618 0.00266665 105.235 295.084 6.54212 1 
1.1 -1.87947 11.2427 0.0121496 19.2738 0.0199637 1.68778 0.00339614 116.167 322.759 7.27958 1 
1.1 -1.87447 11.8499 0.0138671 20.2235 0.0228116 1.80801 0.00348349 128.045 352.931 8.05788 1 
1.1 -1.86947 12.5172 0.0148429 21.2612 0.0239097 1.94478 0.0041496 141.46 386.262 9.00305 1 
1.1 -1.86447 13.274 0.0224168 22.4397 0.035931 2.09936 0.00558889 158.76 430.144 10.063 1 
1.1 -1.85947 14.1217 0.0291786 23.7588 0.0460814 2.27291 0.00773407 178.282 478.66 11.3944 1 
1.1 -1.85447 15.0908 0.0199281 25.2599 0.0323843 2.47771 0.00512424 202.494 538.318 13.0288 1 
1.1 -1.84947 16.1532 0.0281599 26.8963 0.045151 2.7079 0.00692187 229.827 604.945 14.9797 1 
1.1 -1.84447 17.3849 0.0449838 28.8015 0.0703912 2.96775 0.0117649 264.355 690.213 17.1403 1 
1.1 -1.83947 18.7415 0.034843 30.8835 0.05557 3.26449 0.00867774 303.398 784.112 19.9408 1 
1.1 -1.83447 20.5173 0.0391317 33.6252 0.0623948 3.64828 0.0100351 362.541 928.648 23.8144 1 
1.1 -1.82947 22.392 0.052437 36.5024 0.0843182 4.05739 0.0126921 427.117 1083.55 28.1456 1 
1.1 -1.82447 24.7697 0.0528737 40.1514 0.0830406 4.58202 0.0138529 516.291 1297.93 34.0151 1 
1.1 -1.81947 27.6879 0.0932388 44.6126 0.144391 5.2407 0.0235511 641.206 1595.18 42.3395 1 
1.1 -1.81447 31.2332 0.116461 50.0366 0.175925 6.03197 0.0322655 804.004 1983.27 52.8529 1 
1.1 -1.80947 35.7481 0.128528 56.905 0.203614 7.07289 0.0318066 1042.79 2546.88 68.584 1 
1.1 -1.80447 41.9204 0.159464 66.2741 0.245109 8.51826 0.0415253 1405.54 3394.33 92.8315 1 
1.1 -1.79947 50.5147 0.238735 79.3328 0.370844 10.5154 0.0597079 2039.17 4870.09 134.22 1 
1.1 -1.79447 62.5368 0.332722 97.5468 0.509901 13.3397 0.0841954 3053.89 7224.76 199.463 1 
1.1 -1.78947 82.8896 0.630038 128.396 0.945202 18.1207 0.169536 5210.54 12221.7 333.886 1 
1.1 -1.78447 124.921 1.96226 191.826 2.92234 28.2654 0.535684 12196.2 28212.6 776.436 1 
1.1 -1.77947 229.961 7.26646 350.201 10.9203 53.6443 1.83939 40980 93843.5 2552.34 1 
