epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.3 -1.81675 8.94839 0.00944445 16.1286 0.0170347 0.42789 0.000811934 69.0474 223.543 0.755855 1 
0.3 -1.81175 9.31371 0.00768648 16.7395 0.0137995 0.448839 0.000642041 74.3958 239.521 0.800204 1 
0.3 -1.80675 9.68032 0.00836477 17.3486 0.014912 0.470982 0.00079933 79.9208 255.863 0.848865 1 
0.3 -1.80175 10.1028 0.010149 18.0545 0.0180856 0.494463 0.000953645 86.8513 276.511 0.903603 1 
0.3 -1.79675 10.5569 0.00879844 18.8115 0.0156646 0.522438 0.00080925 94.1308 297.985 0.96577 1 
0.3 -1.79175 11.0559 0.010588 19.6436 0.0188039 0.55245 0.000842435 102.784 323.516 1.03981 1 
0.3 -1.78675 11.5727 0.0121575 20.5029 0.021459 0.581826 0.00100484 112.093 350.847 1.10923 1 
0.3 -1.78175 12.1828 0.0134267 21.5215 0.0236788 0.617438 0.00106534 123.736 385.095 1.19823 1 
0.3 -1.77675 12.8479 0.015185 22.6303 0.0266657 0.657283 0.0012027 136.907 423.673 1.29476 1 
0.3 -1.77175 13.558 0.0168868 23.8117 0.0297042 0.699207 0.00124052 151.43 465.93 1.40493 1 
0.3 -1.76675 14.3629 0.0197946 25.1515 0.0347398 0.747415 0.00139931 169.146 517.464 1.52801 1 
0.3 -1.76175 15.2514 0.0197325 26.6294 0.0343629 0.799026 0.00167989 190.336 578.936 1.67564 1 
0.3 -1.75675 16.2757 0.0305224 28.3341 0.0531555 0.860744 0.00207305 215.608 652.079 1.83952 1 
0.3 -1.75175 17.4539 0.0242757 30.2953 0.042107 0.931886 0.00186067 247.359 743.718 2.05983 1 
0.3 -1.74675 18.7136 0.0350312 32.3864 0.0604671 1.0053 0.00272352 282.12 843.414 2.27173 1 
0.3 -1.74175 20.2319 0.0313038 34.9102 0.0539763 1.09558 0.00234683 326.407 970.171 2.55361 1 
0.3 -1.73675 22.0817 0.0377058 37.9887 0.0647642 1.20588 0.00294502 388.388 1147.65 2.9295 1 
0.3 -1.73175 24.1731 0.064727 41.4626 0.110952 1.33068 0.00442083 464.212 1363.81 3.35086 1 
0.3 -1.72675 26.7621 0.059038 45.7656 0.100887 1.48616 0.00437483 564.769 1649.32 3.93341 1 
0.3 -1.72175 29.7147 0.0685748 50.6634 0.116862 1.65967 0.0048465 691.88 2008.91 4.59262 1 
0.3 -1.71675 33.7392 0.0853946 57.3499 0.14508 1.90635 0.00612622 884.914 2554.16 5.62358 1 
0.3 -1.71175 39.0194 0.123432 66.129 0.208991 2.2086 0.00977078 1184.89 3400.31 7.06647 1 
0.3 -1.70675 45.8777 0.162048 77.5172 0.273733 2.61528 0.0119241 1612.37 4600.28 9.03838 1 
0.3 -1.70175 55.3791 0.236162 93.2827 0.397716 3.19595 0.0192229 2362.1 6697.88 12.5979 1 
0.3 -1.69675 70.6565 0.525709 118.661 0.88342 4.08407 0.0298601 3764.56 10613.1 18.5539 1 
0.3 -1.69175 95.1891 0.68728 159.364 1.15059 5.57414 0.0433343 6804.68 19067.6 31.4652 1 
0.3 -1.68675 151.755 2.20556 253.328 3.68198 8.8133 0.130115 17431.9 48577 70.3218 1 
0.3 -1.68175 343.871 9.68667 572.189 16.1102 20.3903 0.613291 87278.4 241636 337.658 1 
