epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1.6 -2.08287 6.47369 0.0183983 10.9834 0.0235201 1.56277 0.00951609 63.6136 140.746 11.8619 1 
1.6 -2.07787 6.76236 0.0186557 11.379 0.0234796 1.67017 0.00973378 68.7298 150.178 12.837 1 
1.6 -2.07287 7.21196 0.0502966 11.9747 0.0580193 1.85921 0.0294251 80.7466 169.021 16.1395 1 
1.6 -2.06787 7.65559 0.0371477 12.5468 0.0430941 2.05247 0.0214384 94.956 189.75 20.3139 1 
1.6 -2.06287 8.12717 0.0403095 13.1716 0.0482762 2.24603 0.0223468 107.988 210.964 23.5231 1 
1.6 -2.05787 8.69982 0.0793209 13.904 0.0915861 2.49941 0.0449747 126.782 237.657 29.0524 1 
1.6 -2.05287 9.44766 0.0661663 14.8501 0.0762946 2.84043 0.0376205 153.772 277.052 36.8217 1 
1.6 -2.04787 10.699 0.210425 16.3456 0.230003 3.47789 0.125675 238.899 388.042 64.8605 1 
1.6 -2.04287 11.411 0.252705 17.2506 0.27313 3.78787 0.15228 270.101 425.15 75.6064 1 
1.6 -2.03787 13.1305 0.377281 19.2388 0.397345 4.69964 0.232663 349.71 522.192 103.148 1 
1.6 -2.03287 15.9938 1.98322 22.4032 2.04292 6.31888 1.24303 766.399 979.993 261.805 1 
1.6 -2.02787 25.6835 3.69847 32.3487 3.63547 12.3338 2.42556 2066.52 2223.33 824.753 1 
1.6 -2.02287 23.7573 1.69602 31.0041 1.69892 10.6587 1.08364 1514.34 1804.51 540.382 1 
1.6 -2.01787 450.129 164.637 424.941 150.299 302.1 113.71 249827 209491 118767 1 
1.6 -2.01287 1841.76 342.953 1735.94 320.109 1232.05 231.503 932012 811615 425001 1 
