epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.6 -1.83847 8.94473 0.0086263 16.0721 0.0152872 0.620877 0.00103441 69.889 223.185 1.33929 1 
0.6 -1.83347 9.31142 0.0101681 16.6806 0.0182828 0.652725 0.000865129 75.3593 239.255 1.42869 1 
0.6 -1.82847 9.68717 0.00894877 17.3014 0.0159662 0.685527 0.000925323 81.0541 255.824 1.52301 1 
0.6 -1.82347 10.1097 0.00933125 18.0008 0.0165108 0.723129 0.00104115 88.0608 276.345 1.63501 1 
0.6 -1.81847 10.5679 0.0109598 18.759 0.0192589 0.764042 0.00137516 95.3656 297.495 1.76648 1 
0.6 -1.81347 11.0728 0.0161305 19.5941 0.0285221 0.810178 0.0013888 104.213 323.164 1.90405 1 
0.6 -1.80847 11.6163 0.0128321 20.4932 0.022409 0.857638 0.00159086 114.133 351.887 2.05296 1 
0.6 -1.80347 12.2026 0.0131207 21.4617 0.0231459 0.9087 0.00154965 125.201 383.849 2.21103 1 
0.6 -1.79847 12.8622 0.015089 22.5507 0.0263624 0.969235 0.00171589 138.179 421.036 2.42097 1 
0.6 -1.79347 13.5706 0.0152119 23.7194 0.0267012 1.03181 0.0017181 152.925 463.317 2.62775 1 
0.6 -1.78847 14.4195 0.0273241 25.124 0.0470977 1.10796 0.00304783 172.396 519.159 2.90666 1 
0.6 -1.78347 15.333 0.0183737 26.6318 0.0317891 1.19018 0.0020987 193.283 578.706 3.19522 1 
0.6 -1.77847 16.3685 0.027545 28.341 0.0480795 1.2831 0.00240329 218.035 648.926 3.54273 1 
0.6 -1.77347 17.493 0.0352733 30.1911 0.061036 1.38713 0.00307849 247.674 732.573 3.95748 1 
0.6 -1.76847 18.8926 0.0325435 32.5021 0.056046 1.51466 0.00319662 287.865 846.468 4.48152 1 
0.6 -1.76347 20.4376 0.0346958 35.0495 0.059269 1.65268 0.00383566 336.258 983.002 5.09181 1 
0.6 -1.75847 22.2779 0.0598818 38.0821 0.102123 1.82153 0.00568343 398.372 1157.53 5.86553 1 
0.6 -1.75347 24.2631 0.0480824 41.3445 0.0816407 2.00007 0.0053487 464.735 1342.52 6.67939 1 
0.6 -1.74847 26.9259 0.0645615 45.7311 0.108943 2.2464 0.00702444 571.306 1639.34 8.03255 1 
0.6 -1.74347 30.2065 0.0686911 51.1361 0.116259 2.54665 0.00715568 712.78 2034 9.6055 1 
0.6 -1.73847 34.0944 0.0943893 57.5362 0.159531 2.89298 0.00922603 902.537 2561.37 11.6252 1 
0.6 -1.73347 39.3627 0.123483 66.2063 0.207429 3.37947 0.0127698 1196.08 3373.15 14.8457 1 
0.6 -1.72847 46.5109 0.190194 77.9716 0.320468 4.03511 0.0163321 1666.86 4670.99 19.8863 1 
0.6 -1.72347 56.3416 0.263919 94.1425 0.438825 4.934 0.0295632 2417.03 6732.36 27.5111 1 
0.6 -1.71847 71.6048 0.380416 119.264 0.634344 6.31036 0.0369986 3824.43 10591.5 41.1733 1 
0.6 -1.71347 98.5616 0.839277 163.583 1.38972 8.83169 0.0832328 7346.82 20208.2 75.8482 1 
0.6 -1.70847 155.558 2.01951 257.423 3.34599 13.9045 0.177285 17912.1 49061.4 163.691 1 
0.6 -1.70347 381.545 13.2684 629.033 21.8446 34.8616 1.28906 121626 330061 1128.18 1 
