epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.9 -1.87181 8.91145 0.00744505 15.8491 0.0129848 0.923815 0.00130522 71.3158 218.962 2.63833 1 
0.9 -1.86681 9.30012 0.00817853 16.4812 0.0142399 0.978228 0.00134434 77.1652 235.336 2.85305 1 
0.9 -1.86181 9.70379 0.00830356 17.1379 0.0143773 1.03191 0.00149987 83.9335 254.349 3.08233 1 
0.9 -1.85681 10.1271 0.00886645 17.8225 0.0153307 1.09077 0.00173717 90.4706 272.354 3.32666 1 
0.9 -1.85181 10.601 0.0106068 18.5872 0.0183057 1.15982 0.00179457 98.6566 294.865 3.63816 1 
0.9 -1.84681 11.1211 0.0108306 19.4301 0.0186284 1.23173 0.00227084 108.136 321.28 3.94469 1 
0.9 -1.84181 11.7069 0.0130538 20.3762 0.0228798 1.31752 0.00219489 119.008 350.949 4.3508 1 
0.9 -1.83681 12.3179 0.0140193 21.3648 0.0240332 1.40106 0.00242244 131.374 385.102 4.74368 1 
0.9 -1.83181 12.9741 0.0149364 22.4192 0.0253265 1.49655 0.00319866 143.742 418.352 5.20831 1 
0.9 -1.82681 13.7636 0.0201876 23.6938 0.0344599 1.61075 0.00338426 160.938 465.215 5.78816 1 
0.9 -1.82181 14.6212 0.017657 25.0762 0.0298651 1.73426 0.00314676 180.354 517.82 6.45375 1 
0.9 -1.81681 15.5324 0.0198238 26.5393 0.0334415 1.86679 0.00358011 202.829 578.427 7.20644 1 
0.9 -1.81181 16.6409 0.0276145 28.3173 0.0468303 2.03664 0.00436127 230.512 652.281 8.19338 1 
0.9 -1.80681 17.9083 0.0312253 30.3633 0.0534247 2.21521 0.00452176 267.517 752.59 9.31292 1 
0.9 -1.80181 19.3763 0.0326633 32.7228 0.0537414 2.43306 0.00632417 310.013 866.097 10.6785 1 
0.9 -1.79681 20.9998 0.0444223 35.3232 0.0735647 2.6773 0.00728358 361.036 1001.48 12.3472 1 
0.9 -1.79181 22.9185 0.0427818 38.3983 0.0707829 2.96384 0.00767954 424.049 1168.55 14.3302 1 
0.9 -1.78681 25.2856 0.0812818 42.1834 0.132944 3.33035 0.0140254 511.636 1398.31 17.2624 1 
0.9 -1.78181 28.1696 0.0650772 46.8126 0.106626 3.75597 0.0117642 631.597 1715.38 20.7692 1 
0.9 -1.77681 31.7269 0.0960654 52.5127 0.158913 4.28905 0.0147506 798.893 2156.28 25.5738 1 
0.9 -1.77181 36.2478 0.10906 59.7523 0.178322 4.96904 0.0183503 1025.16 2747.11 32.3255 1 
0.9 -1.76681 41.9435 0.146838 68.8535 0.242053 5.83653 0.0223667 1362.19 3630.79 41.3604 1 
0.9 -1.76181 49.9631 0.277198 81.6583 0.444747 7.07486 0.0500302 1898.12 5017.56 56.8917 1 
0.9 -1.75681 62.2283 0.391883 101.28 0.6389 8.93716 0.0563028 2953.64 7761.21 85.0333 1 
0.9 -1.75181 81.1751 0.565031 131.563 0.908831 11.8227 0.0947643 4991.71 13020.4 139.088 1 
0.9 -1.74681 116.922 1.02976 188.629 1.65461 17.3456 0.173225 10103.6 26149.4 273.464 1 
0.9 -1.74181 203.738 3.31389 327.323 5.32919 30.6117 0.505189 29612.4 76260.7 749.102 1 
