epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1 -1.88687 8.91815 0.00742633 15.7623 0.0126641 1.06503 0.00158023 72.9848 218.736 3.43683 1 
1 -1.88187 9.2747 0.0075836 16.3318 0.0130191 1.12194 0.00176581 78.3247 233.226 3.68126 1 
1 -1.87687 9.6951 0.00933046 17.0041 0.015619 1.19228 0.00214274 85.2825 251.879 4.03423 1 
1 -1.87187 10.155 0.00905862 17.741 0.0153839 1.26771 0.00192872 93.087 272.927 4.41694 1 
1 -1.86687 10.6205 0.0132623 18.4833 0.0224957 1.34376 0.00236186 100.843 293.589 4.78594 1 
1 -1.86187 11.1735 0.0139039 19.367 0.0232534 1.43655 0.0028526 111.137 321.167 5.27639 1 
1 -1.85687 11.7304 0.0135927 20.2491 0.0229982 1.53266 0.00266299 121.938 349.679 5.80721 1 
1 -1.85187 12.3852 0.0167025 21.2927 0.027791 1.64312 0.00343836 134.985 384.019 6.4454 1 
1 -1.84687 13.1046 0.0166398 22.438 0.0279326 1.76445 0.00325262 150.178 424.138 7.16975 1 
1 -1.84187 13.8843 0.0183825 23.673 0.0304571 1.90003 0.0038237 167.416 469.238 7.98671 1 
1 -1.83687 14.7464 0.022771 25.0381 0.0376911 2.0491 0.00464265 187.303 521 8.92109 1 
1 -1.83187 15.7943 0.0246736 26.7031 0.0400747 2.22992 0.00526871 213.953 591.145 10.0833 1 
1 -1.82687 16.9311 0.0242781 28.5002 0.0398803 2.43068 0.00515945 242.84 665.464 11.5005 1 
1 -1.82187 18.2225 0.028588 30.5344 0.0469101 2.66459 0.00599099 277.987 755.446 13.2209 1 
1 -1.81687 19.7414 0.0362708 32.9392 0.0593592 2.9282 0.00717865 326.002 879.747 15.2918 1 
1 -1.81187 21.4739 0.0554791 35.6642 0.0889683 3.24357 0.0118896 382.876 1024.79 17.9436 1 
1 -1.80687 23.6113 0.0576809 39.0429 0.0928672 3.61952 0.0119394 457.734 1216.51 21.1715 1 
1 -1.80187 26.0852 0.0569916 42.9249 0.091075 4.07712 0.0126182 551.757 1454.35 25.4663 1 
1 -1.79687 28.9768 0.0696587 47.4662 0.112531 4.60128 0.0142863 672.786 1760.84 30.7298 1 
1 -1.79187 33.0323 0.118381 53.8378 0.188542 5.35163 0.0245211 867.575 2250.51 39.2662 1 
1 -1.78687 38.1966 0.125174 61.9587 0.201332 6.29359 0.0240492 1156.7 2980.62 51.1074 1 
1 -1.78187 44.789 0.168572 72.2728 0.268064 7.5351 0.0371399 1594.3 4070.07 69.8403 1 
1 -1.77687 54.3447 0.274107 87.2359 0.433841 9.32735 0.054726 2311.43 5857.77 99.3043 1 
1 -1.77187 68.1792 0.430519 108.885 0.666057 11.9194 0.0996704 3607.66 9079.97 150.683 1 
1 -1.76687 92.4188 0.803317 146.819 1.27336 16.4731 0.150674 6527.18 16320.8 262.111 1 
1 -1.76187 141.855 1.55264 224.097 2.43763 25.8322 0.307761 14825 36710.7 587.029 1 
1 -1.75687 288.488 7.30861 453.242 11.4744 53.5939 1.38396 58309.3 143606 2183.02 1 
