epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.7 -1.848 8.9382 0.00685042 16.0238 0.012056 0.705687 0.00108423 70.1823 222.116 1.6516 1 
0.7 -1.843 9.29756 0.00824057 16.6148 0.0146146 0.743713 0.0010382 75.6065 237.786 1.77753 1 
0.7 -1.838 9.68153 0.0102098 17.2467 0.018249 0.782745 0.00119718 81.33 254.275 1.89676 1 
0.7 -1.833 10.1189 0.00875571 17.9688 0.0154316 0.827357 0.00120669 88.5389 275.18 2.04315 1 
0.7 -1.828 10.5801 0.0111207 18.7285 0.0193326 0.874016 0.00206349 96.3216 297.557 2.20801 1 
0.7 -1.823 11.083 0.010757 19.5555 0.0187946 0.926837 0.00149693 105.197 322.984 2.39282 1 
0.7 -1.818 11.6391 0.0129846 20.4712 0.0226728 0.983793 0.00161828 115.267 351.781 2.59229 1 
0.7 -1.813 12.2119 0.0120311 21.4098 0.021397 1.04329 0.0016377 125.596 381.068 2.8008 1 
0.7 -1.808 12.9025 0.0132575 22.5468 0.0230786 1.11552 0.00166084 139.843 421.725 3.07585 1 
0.7 -1.803 13.6153 0.0155415 23.7179 0.0268555 1.18623 0.00210334 154.572 463.539 3.32807 1 
0.7 -1.798 14.4531 0.0187122 25.0939 0.0323189 1.27535 0.00231578 173.144 515.968 3.68741 1 
0.7 -1.793 15.3645 0.0256524 26.5888 0.0447132 1.37093 0.00242974 194.394 575.663 4.08652 1 
0.7 -1.788 16.4172 0.0255255 28.3174 0.0434219 1.48058 0.00339701 220.41 648.933 4.54421 1 
0.7 -1.783 17.5627 0.0257735 30.1907 0.0442229 1.60512 0.00316582 249.868 730.895 5.1119 1 
0.7 -1.778 18.9043 0.0319676 32.3895 0.0543238 1.74624 0.00425006 289.643 842.071 5.77781 1 
0.7 -1.773 20.5338 0.0330593 35.0618 0.0563027 1.92078 0.00413062 339.645 981.227 6.66364 1 
0.7 -1.768 22.3381 0.0462243 38.0133 0.0781936 2.11485 0.00551889 398.065 1142.59 7.69277 1 
0.7 -1.763 24.5602 0.0567019 41.6546 0.0954689 2.34981 0.00715901 480.94 1372.26 8.98088 1 
0.7 -1.758 27.1573 0.0604568 45.9019 0.102094 2.62928 0.00754629 581.713 1649.63 10.6086 1 
0.7 -1.753 30.4321 0.0723473 51.2654 0.121133 2.97433 0.00931525 724.234 2041.77 12.7938 1 
0.7 -1.748 34.4556 0.089832 57.8413 0.15044 3.41002 0.0108408 926.898 2596.88 15.8667 1 
0.7 -1.743 39.902 0.126336 66.7598 0.211255 3.98466 0.0148112 1240.69 3455.21 20.3983 1 
0.7 -1.738 46.6355 0.20627 77.756 0.342497 4.70902 0.023711 1662.4 4601.75 26.312 1 
0.7 -1.733 57.3068 0.285859 95.2109 0.474999 5.85939 0.0318713 2502.77 6883.48 38.1788 1 
0.7 -1.728 73.3188 0.446398 121.408 0.733523 7.55304 0.0559929 4109.95 11243 58.4339 1 
0.7 -1.723 101.444 0.841952 167.412 1.39305 10.5367 0.0877809 7794.02 21197 104.177 1 
0.7 -1.718 164.171 2.71015 269.96 4.45179 17.2654 0.298951 20971.3 56640.3 266.997 1 
0.7 -1.713 410.725 14.9799 673.209 24.5818 43.3751 1.55519 136269 365941 1602.28 1 
