epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.5 -1.83025 8.94995 0.00765346 16.1072 0.0137688 0.546938 0.000669748 69.5169 223.414 1.09575 1 
0.5 -1.82525 9.29104 0.00726941 16.6719 0.0129812 0.573034 0.000805587 74.3414 237.581 1.15821 1 
0.5 -1.82025 9.68615 0.00911638 17.3296 0.0162522 0.603143 0.000847004 80.6447 256.26 1.24071 1 
0.5 -1.81525 10.1021 0.00916951 18.0202 0.016439 0.635314 0.000897555 87.1852 275.436 1.32703 1 
0.5 -1.81025 10.5674 0.0120575 18.7941 0.0213143 0.671041 0.00110896 95.0942 298.674 1.42913 1 
0.5 -1.80525 11.0651 0.0114446 19.6207 0.0201225 0.709135 0.00134361 103.809 324.22 1.53202 1 
0.5 -1.80025 11.6026 0.0116706 20.5118 0.0204927 0.751343 0.00152568 113.324 351.888 1.65006 1 
0.5 -1.79525 12.1851 0.0131342 21.4769 0.0230205 0.796653 0.00128749 124.23 383.508 1.78411 1 
0.5 -1.79025 12.864 0.0193112 22.6061 0.0338455 0.847469 0.00202145 138.011 423.636 1.93499 1 
0.5 -1.78525 13.5928 0.0240772 23.8135 0.0419488 0.90585 0.00225547 153.704 468.998 2.12786 1 
0.5 -1.78025 14.4156 0.0169357 25.1795 0.0295512 0.967692 0.00163363 171.425 520.186 2.30983 1 
0.5 -1.77525 15.2928 0.0196498 26.6292 0.0341264 1.03871 0.00202351 191.663 578.062 2.55143 1 
0.5 -1.77025 16.2879 0.0228438 28.2763 0.0394723 1.11459 0.00232445 216.871 650.407 2.80146 1 
0.5 -1.76525 17.4915 0.0258041 30.2734 0.0445526 1.20716 0.00267451 247.767 738.668 3.13177 1 
0.5 -1.76025 18.8005 0.0268177 32.4369 0.0461779 1.31334 0.0027934 285.097 844.776 3.53921 1 
0.5 -1.75525 20.3105 0.0342084 34.9334 0.0587584 1.43308 0.00305188 329.931 971.859 3.99112 1 
0.5 -1.75025 22.1196 0.0475407 37.9287 0.0814362 1.57216 0.00403818 389.95 1142.14 4.55061 1 
0.5 -1.74525 24.1682 0.0444665 41.3116 0.0759541 1.73584 0.00410356 461.577 1343.88 5.2286 1 
0.5 -1.74025 26.7605 0.0584276 45.5997 0.0994392 1.94037 0.00563995 561.53 1625.03 6.18589 1 
0.5 -1.73525 30.0216 0.0685307 50.9987 0.116121 2.19232 0.00654003 707.984 2037.05 7.39987 1 
0.5 -1.73025 34.0457 0.102699 57.6516 0.174232 2.51199 0.00900825 903.262 2583.38 9.11767 1 
0.5 -1.72525 39.0347 0.117381 65.893 0.198014 2.90306 0.0103005 1177.34 3347.41 11.3585 1 
0.5 -1.72025 46.079 0.186217 77.5447 0.312362 3.44529 0.0176833 1625.99 4597.14 14.8003 1 
0.5 -1.71525 55.7897 0.299365 93.5819 0.500352 4.22245 0.027443 2381.86 6691.35 20.7267 1 
0.5 -1.71025 71.2806 0.43022 119.195 0.718893 5.42487 0.0368044 3813.69 10651.6 31.231 1 
0.5 -1.70525 96.2792 0.859812 160.484 1.42885 7.39283 0.0796462 6925.74 19225.5 53.3976 1 
0.5 -1.70025 149.949 2.66906 249.11 4.42283 11.682 0.234522 17320 47739.4 128.937 1 
0.5 -1.69525 342.867 9.05966 567.855 15.0155 26.7786 0.703225 87824.4 240957 570.843 1 
