epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
1.4 -1.97728 9.14376 0.0158482 15.2731 0.0226569 2.00474 0.00672364 97.1978 231 13.3491 1 
1.4 -1.97228 9.67725 0.025311 16.0301 0.0317082 2.18296 0.0135062 110.858 256.87 15.9626 1 
1.4 -1.96728 10.2337 0.0239013 16.8196 0.0317023 2.36639 0.0113509 122.883 280.569 17.8902 1 
1.4 -1.96228 10.8853 0.024657 17.7342 0.0337812 2.58989 0.0110093 139.402 312.625 20.7634 1 
1.4 -1.95728 11.5808 0.029514 18.6991 0.0386486 2.83408 0.014283 156.675 343.919 24.1265 1 
1.4 -1.95228 12.5267 0.0447024 20.0152 0.0612416 3.17172 0.0202858 185.726 398.185 29.4767 1 
1.4 -1.94728 13.5598 0.0517439 21.4224 0.0630517 3.55872 0.0273625 219.537 457.984 36.3929 1 
1.4 -1.94228 14.749 0.0726457 23.0363 0.0880893 4.00734 0.0383322 263.721 533.953 45.8077 1 
1.4 -1.93728 16.1978 0.0758558 24.9841 0.0948113 4.56817 0.0380646 318.339 628.332 57.131 1 
1.4 -1.93228 18.1773 0.366931 27.5707 0.437398 5.39488 0.194627 422.505 792.948 82.6555 1 
1.4 -1.92728 19.9949 0.134132 30.0272 0.167723 6.07744 0.0658871 491.368 918.853 93.7416 1 
1.4 -1.92228 22.8673 0.205367 33.7313 0.242941 7.30428 0.110431 658.018 1182.45 133.033 1 
1.4 -1.91728 26.2638 0.246071 38.161 0.291469 8.70997 0.136743 855.439 1498.5 177.437 1 
1.4 -1.91228 31.8232 1.48834 45.1671 1.74145 11.2055 0.790095 1303.77 2180.77 286.96 1 
1.4 -1.90728 42.2464 1.41167 58.0334 1.66249 16.1016 0.753193 2453.83 3859.41 582.813 1 
1.4 -1.90228 53.9933 1.51651 72.2272 1.73746 21.7736 0.827087 3637.05 5456.36 919.139 1 
1.4 -1.89728 107.676 11.5892 134.869 12.8259 49.5865 6.57674 16380 22420.1 4581.92 1 
1.4 -1.89228 732.308 110.048 841.632 124.41 388.642 59.9499 200811 254363 60788.9 1 
