epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.8 -1.85899 8.92985 0.00724929 15.955 0.0128459 0.806985 0.00106948 70.8031 221.255 2.07672 1 
0.8 -1.85399 9.29767 0.00752568 16.5572 0.0132445 0.850756 0.00116259 76.217 236.645 2.23165 1 
0.8 -1.84899 9.69318 0.00863395 17.2049 0.0152048 0.897141 0.00134603 82.4174 254.337 2.39563 1 
0.8 -1.84399 10.1179 0.0101238 17.8989 0.0180243 0.948029 0.00130434 89.35 273.981 2.5883 1 
0.8 -1.83899 10.5805 0.0121996 18.6548 0.0210562 1.00341 0.0020041 96.9885 295.581 2.79283 1 
0.8 -1.83399 11.0803 0.0100227 19.4703 0.0174384 1.06369 0.00179046 105.71 320.123 3.03207 1 
0.8 -1.82899 11.6365 0.011355 20.379 0.0196741 1.13006 0.00178046 115.821 348.587 3.29155 1 
0.8 -1.82399 12.2848 0.0143128 21.4396 0.0249119 1.20981 0.0018966 128.858 385.322 3.6236 1 
0.8 -1.81899 12.96 0.0179138 22.5418 0.0316423 1.29051 0.00206765 142.586 423.735 3.9823 1 
0.8 -1.81399 13.6741 0.0183046 23.7019 0.0314428 1.37857 0.00270062 157.181 464.191 4.3475 1 
0.8 -1.80899 14.5007 0.0245809 25.0475 0.0422737 1.48036 0.00288345 176.119 516.674 4.83739 1 
0.8 -1.80399 15.4173 0.0227122 26.538 0.0389374 1.59344 0.00332243 197.069 574.401 5.37052 1 
0.8 -1.79899 16.4968 0.0227259 28.2972 0.0386539 1.72551 0.00339668 224.348 649.946 5.99277 1 
0.8 -1.79399 17.711 0.0369982 30.2739 0.0627854 1.87438 0.00469254 258.297 743.779 6.78309 1 
0.8 -1.78899 19.0262 0.0280697 32.4039 0.0474834 2.04233 0.00436752 291.549 833.676 7.65207 1 
0.8 -1.78399 20.6793 0.0466574 35.091 0.0785666 2.25097 0.00641271 346.26 983.652 8.88126 1 
0.8 -1.77899 22.6067 0.0398171 38.2263 0.0668521 2.48874 0.00573551 410.923 1160.47 10.2863 1 
0.8 -1.77399 24.8653 0.0504353 41.8889 0.0843424 2.77761 0.00790483 494.208 1385.49 12.2731 1 
0.8 -1.76899 27.5268 0.0710355 46.2004 0.119202 3.11782 0.0092265 598.635 1667.57 14.5546 1 
0.8 -1.76399 30.7667 0.0786112 51.4605 0.130225 3.51478 0.0117118 739.312 2048.7 17.369 1 
0.8 -1.75899 35.0109 0.0985787 58.3404 0.163722 4.05444 0.0136164 953.459 2624.69 21.8238 1 
0.8 -1.75399 40.5143 0.128247 67.2629 0.211994 4.7487 0.0179124 1257.48 3440.37 27.8763 1 
0.8 -1.74899 48.2441 0.187127 79.8011 0.309204 5.72195 0.0277505 1816.44 4940.05 38.3638 1 
0.8 -1.74399 58.9516 0.303762 97.1352 0.49923 7.09509 0.0408808 2641.3 7131.22 54.8518 1 
0.8 -1.73899 76.1051 0.57766 124.939 0.950204 9.25879 0.0719726 4349.88 11676.4 85.1464 1 
0.8 -1.73399 105.717 0.825476 172.92 1.34856 12.9918 0.108244 8209.83 21899.5 153.353 1 
0.8 -1.72899 174.993 3.36927 285.114 5.51899 21.8091 0.407231 22807.4 60487.1 400.91 1 
0.8 -1.72399 505.983 22.6488 821.113 36.8305 63.9981 2.7886 180924 476538 2994.68 1 
