1.26 -1.83056 503680000000 steps
162.016 0.583999 
n radius_n error   
0 0 0
1 1 3.53688e-09
2 2.66656 9.7378e-05
3 4.11791 0.000268973
4 6.36065 0.000425818
5 7.935 0.000939361
6 10.4624 0.000846566
7 11.902 0.00132172
8 14.6124 0.00153656
9 16.0851 0.00239328
10 18.822 0.00352148
11 20.3836 0.00382912
12 23.1771 0.00349692
13 24.7572 0.00418798
14 27.6434 0.00459047
15 29.2186 0.00546988
16 32.1752 0.00656658
17 33.7732 0.00817638
18 36.7848 0.00742816
19 38.389 0.00895683
20 41.4618 0.00874572
21 43.08 0.010024
22 46.2085 0.0111909
23 47.8328 0.0118694
24 51.0175 0.0124154
25 52.6464 0.0144164
26 55.856 0.0154598
27 57.5018 0.0159117
28 60.7597 0.0170884
29 62.3958 0.0196182
30 65.7119 0.0197159
31 67.3606 0.0236086
32 70.695 0.026835
33 72.3507 0.0232937
34 75.7179 0.0317368
35 77.3934 0.0335981
36 80.7898 0.0342307
37 82.4734 0.0370237
38 85.8835 0.0443193
39 87.5684 0.0464543
40 91.0035 0.0409965
41 92.7197 0.0510131
42 96.1955 0.0500586
43 97.9072 0.0560927
44 101.425 0.0500213
45 103.177 0.0526446
46 106.668 0.062254
47 108.402 0.0646789
48 111.933 0.0661353
49 113.67 0.06011
50 117.247 0.065182
51 118.954 0.0653834
52 122.551 0.0599664
53 124.266 0.0635309
54 127.959 0.0681742
55 129.664 0.0752607
56 133.359 0.0835866
57 135.031 0.0759015
58 138.732 0.0829181
59 140.451 0.08723
60 144.134 0.096981
61 145.979 0.115444
62 149.584 0.136972
63 151.515 0.15433
64 155.086 0.142925
65 156.966 0.152294
66 160.665 0.142996
67 162.39 0.143612
68 166.101 0.128254
69 167.921 0.13598
70 171.68 0.165615
71 173.493 0.174724
72 177.258 0.187914
73 179.074 0.195731
74 182.798 0.224462
75 184.626 0.253619
76 188.434 0.200056
77 190.156 0.257523
78 193.928 0.255763
79 195.874 0.23956
80 199.634 0.220955
81 201.458 0.217652
82 205.122 0.184827
83 207.028 0.216578
84 210.863 0.187584
85 212.619 0.22604
86 216.577 0.182511
87 218.554 0.220885
88 222.379 0.20468
89 224.21 0.216679
90 228.274 0.260499
91 230.059 0.259375
92 234.011 0.2412
93 235.832 0.252052
94 239.583 0.293191
95 241.573 0.279945
96 245.615 0.245698
97 247.552 0.248769
98 251.368 0.22854
99 253.159 0.249914
100 256.951 0.275646
101 259.019 0.310582
102 262.765 0.314959
103 264.724 0.257493
104 268.611 0.316481
105 270.662 0.282138
106 274.709 0.270235
107 276.7 0.267083
108 280.619 0.277877
109 282.469 0.268124
110 286.349 0.268573
111 288.496 0.276856
112 292.295 0.279592
113 294.486 0.320408
114 298.302 0.37604
115 300.023 0.404144
116 304 0.441635
117 306.453 0.351885
118 310.187 0.338791
119 312.334 0.32024
120 316.461 0.353606
121 318.425 0.329515
122 322.366 0.333591
123 324.522 0.328423
124 328.679 0.333384
125 330.555 0.349491
126 334.682 0.372065
127 336.716 0.368437
128 340.683 0.371942
129 342.424 0.422491
130 346.542 0.37361
131 348.237 0.373691
132 352.563 0.472481
133 354.366 0.433204
134 358.705 0.405793
135 360.556 0.416968
136 364.715 0.428383
137 366.726 0.469128
138 370.878 0.508951
139 372.523 0.470211
140 377 0.479107
141 378.631 0.503092
142 383.056 0.50184
143 384.6 0.509521
144 388.915 0.524869
145 390.658 0.559196
146 395.255 0.536211
147 396.531 0.588122
148 401.46 0.581857
149 403.229 0.601908
150 407.143 0.605641
151 409.157 0.664083
152 413.567 0.623137
153 415.399 0.654893
154 419.797 0.616834
155 421.907 0.690075
156 425.76 0.651023
157 428.558 0.667292
158 432.369 0.653184
159 434.546 0.68254
160 438.096 0.710383
161 440.713 0.713351
162 444.479 0.709037
163 446.423 0.744706
164 450.662 0.722856
165 452.66 0.834032
166 456.733 0.791268
167 458.836 1.00305
168 462.888 0.772813
169 465.362 0.867742
170 468.875 0.792174
171 470.953 0.805325
172 475.032 0.839012
173 477.705 0.848335
174 481.489 0.870253
175 483.561 0.853837
176 487.239 1.04229
177 489.591 0.845798
178 494.016 0.940375
179 496.337 0.95595
180 499.882 1.09508
181 502.586 0.987185
182 506.533 1.31698
183 509.179 1.0039
184 512.975 1.05396
185 516.078 1.05154
186 519.099 1.07009
187 521.946 1.03516
188 525.617 1.15652
189 527.886 1.03393
190 531.572 1.15757
191 533.407 1.45637
192 537.3 2.32005
193 541.166 1.05831
194 544.888 1.38467
195 547.679 1.14848
196 551.892 1.10183
197 553.667 1.10798
198 558.756 1.13313
199 560.828 1.12461
200 564.304 1.07474
201 566.575 1.08631
202 570.938 1.12094
203 572.466 1.12059
204 576.81 1.27292
205 578.684 1.20257
206 584.361 1.39887
207 584.982 1.30796
208 589.339 1.32091
209 591.081 1.37695
210 595.968 1.25451
211 597.987 1.26394
212 602.541 1.25615
213 605.166 1.22755
214 609.569 1.3017
215 611.451 1.36289
216 615.667 1.47108
217 617.917 1.311
218 621.704 1.37891
219 624.003 1.48362
220 628.121 1.44747
221 630.906 1.39521
222 634.184 1.86905
223 637.531 1.64144
224 641.587 1.9954
225 643.648 1.81057
226 648.756 1.84812
227 649.905 1.88622
