0.6 -1.145 94920000000 steps
159.148 0.329559 
n radius_n error   
0 0 0
1 1 3.89094e-09
2 2.66695 0.000183178
3 4.00638 0.000441608
4 6.1992 0.000668146
5 7.67734 0.00121157
6 10.181 0.00158405
7 11.6095 0.00237973
8 14.277 0.00290238
9 15.822 0.0033327
10 18.5316 0.00392589
11 20.1837 0.00474115
12 22.9814 0.00548771
13 24.6791 0.00819258
14 27.5798 0.00844424
15 29.3252 0.00823414
16 32.2998 0.0122809
17 34.1081 0.0107719
18 37.1595 0.0113622
19 39.0089 0.0134497
20 42.1192 0.0145935
21 44.0099 0.0207267
22 47.1678 0.02168
23 49.1184 0.0221605
24 52.3189 0.0297634
25 54.303 0.029529
26 57.5823 0.0360039
27 59.5917 0.0385151
28 62.9463 0.0422226
29 65.0044 0.0399357
30 68.3993 0.0408933
31 70.504 0.0391152
32 73.9327 0.0404399
33 76.0868 0.0411108
34 79.5448 0.0466192
35 81.7282 0.049663
36 85.2456 0.0470719
37 87.4866 0.0487486
38 91.0334 0.0483197
39 93.2882 0.0489258
40 96.8425 0.0479885
41 99.1448 0.0523721
42 102.74 0.0555092
43 105.069 0.0541122
44 108.729 0.055085
45 111.081 0.0589113
46 114.773 0.0599355
47 117.161 0.0626569
48 120.885 0.0657916
49 123.263 0.0690329
50 127.025 0.0715792
51 129.474 0.071422
52 133.257 0.0757149
53 135.728 0.0860924
54 139.524 0.0833663
55 142.016 0.0848847
56 145.922 0.0860884
57 148.45 0.0915041
58 152.296 0.0971937
59 154.912 0.0984104
60 158.764 0.100556
61 161.313 0.0999477
62 165.263 0.105655
63 167.861 0.10819
64 171.751 0.113132
65 174.447 0.114756
66 178.373 0.114568
67 181.062 0.121473
68 184.955 0.124411
69 187.648 0.127474
70 191.608 0.12996
71 194.311 0.139191
72 198.386 0.143101
73 201.064 0.145231
74 205.135 0.148903
75 207.902 0.150822
76 212.015 0.159
77 214.891 0.165634
78 218.898 0.173354
79 221.736 0.17074
80 225.877 0.176373
81 228.791 0.189148
82 233.004 0.195475
83 235.936 0.189272
84 240.126 0.220906
85 243.059 0.220261
86 247.183 0.221666
87 250.12 0.212234
88 254.357 0.214233
89 257.332 0.217135
90 261.55 0.230394
91 264.681 0.231914
92 268.856 0.224711
93 271.936 0.234571
94 276.172 0.262635
95 279.27 0.254232
96 283.576 0.267058
97 286.61 0.291719
98 290.908 0.263124
99 294.111 0.287815
100 298.44 0.275379
101 301.624 0.291689
102 306.021 0.279498
103 309.107 0.298064
104 313.516 0.303598
105 316.572 0.318449
106 321.017 0.328267
107 324.144 0.308811
108 328.635 0.352065
109 331.747 0.333176
110 336.08 0.342853
111 339.187 0.340365
112 343.71 0.385556
113 346.96 0.363799
114 351.546 0.381617
115 354.718 0.378476
116 359.31 0.357794
117 362.634 0.384002
118 367.104 0.385535
119 370.454 0.404797
120 375.026 0.407611
121 378.342 0.434674
122 382.78 0.461972
123 386.034 0.413819
124 390.55 0.42638
125 393.928 0.421269
126 398.71 0.414397
127 402.031 0.482152
128 406.681 0.491853
129 410.042 0.53008
130 414.805 0.529872
131 418.232 0.53509
132 422.765 0.545874
133 426.183 0.46798
134 430.915 0.520482
135 434.311 0.620669
136 439.063 0.533445
137 442.511 0.491989
138 447.116 0.496669
139 450.551 0.517209
140 455.281 0.522911
141 458.768 0.570057
142 463.381 0.581476
143 466.819 0.589106
144 471.441 0.608877
145 475.16 0.572041
146 479.949 0.567477
147 483.716 0.600278
148 488.433 0.627724
149 491.99 0.604316
150 496.904 0.633291
151 500.302 0.631879
152 505.167 0.694572
153 508.558 0.658704
154 513.288 0.679049
155 517.054 0.779167
156 522.055 0.783833
157 525.409 0.81185
158 530.316 0.868746
159 533.984 0.84903
160 538.95 0.88368
161 542.671 0.945962
162 547.652 0.901803
163 551.165 0.782288
164 556.153 0.837224
165 559.709 0.894967
166 564.485 0.987738
167 568.201 0.998935
168 573.084 0.834652
169 576.874 0.989767
170 581.625 1.10608
171 585.119 1.1874
172 590.169 0.979245
173 594.268 0.974089
174 599.367 0.985629
175 603.403 0.900914
176 608.296 0.879762
177 611.923 0.909056
178 616.957 0.915396
179 621.024 1.04155
180 626.081 1.16597
181 629.825 1.02835
182 634.758 1.03714
183 638.602 1.07132
184 644.024 0.996034
185 647.772 1.01013
186 652.773 0.99141
187 657.098 1.03759
188 662.149 1.33261
189 665.662 1.28266
190 670.929 1.27602
191 674.722 1.34037
192 680.007 1.1305
193 684.117 1.08698
194 689.284 1.15403
195 693.27 1.18819
196 698.768 1.13779
197 702.509 1.287
198 707.332 1.22787
199 711.408 1.1638
200 716.526 1.16103
201 720.529 1.18445
202 725.871 1.17905
203 729.856 1.18549
204 734.898 1.25787
205 738.873 1.29649
206 744.414 1.2239
207 748.671 1.45566
208 753.814 1.25721
209 758.014 1.27421
210 763.28 1.29196
211 767.105 1.30932
212 772.666 1.48854
213 776.44 1.33293
214 782.222 1.45135
215 786.329 1.33116
216 791.737 1.3932
217 795.726 1.49886
218 800.962 1.42332
219 805.239 1.46805
220 810.83 1.79433
221 815.512 1.67069
222 820.725 1.46523
223 825.225 1.44699
224 830.361 1.47675
225 834.505 1.69893
226 839.18 1.6424
227 843.446 1.85995
