0.4 -1.69122 116310000000 steps
191.553 0.66034 
n radius_n error   
0 0 0
1 1 4.30159e-09
2 2.66661 0.000268181
3 4.46251 0.000693915
4 6.88965 0.00137891
5 9.22611 0.00190196
6 12.1237 0.00279643
7 14.8297 0.00369436
8 18.1221 0.00480604
9 21.1885 0.00685782
10 24.806 0.00752532
11 28.204 0.00940222
12 32.1131 0.0112989
13 35.819 0.0117392
14 39.9972 0.0183182
15 43.9913 0.023487
16 48.4292 0.0250905
17 52.6862 0.0287591
18 57.3846 0.0259933
19 61.8838 0.029045
20 66.7861 0.0296088
21 71.5212 0.0361257
22 76.6486 0.0396176
23 81.5927 0.0441668
24 86.9298 0.0392252
25 92.0973 0.0439371
26 97.638 0.0468111
27 102.996 0.0519491
28 108.726 0.0684679
29 114.274 0.0676472
30 120.2 0.0676145
31 125.981 0.0805711
32 132.075 0.0877785
33 138.041 0.0827376
34 144.31 0.07337
35 150.414 0.0815765
36 156.855 0.089753
37 163.159 0.0873856
38 169.798 0.0894841
39 176.273 0.093741
40 183.031 0.102014
41 189.684 0.107421
42 196.634 0.111053
43 203.439 0.11822
44 210.496 0.118791
45 217.474 0.122068
46 224.706 0.125494
47 231.824 0.133302
48 239.188 0.135625
49 246.463 0.142039
50 254.06 0.145565
51 261.471 0.153877
52 269.141 0.159225
53 276.726 0.168222
54 284.561 0.1762
55 292.291 0.187665
56 300.274 0.197099
57 308.091 0.202613
58 316.104 0.209171
59 324.075 0.215682
60 332.312 0.2135
61 340.422 0.230885
62 348.821 0.238467
63 357.123 0.249113
64 365.664 0.253058
65 374.038 0.262203
66 382.762 0.276069
67 391.258 0.273847
68 400.068 0.279337
69 408.631 0.29249
70 417.432 0.296626
71 426.275 0.304806
72 435.387 0.311045
73 444.264 0.31935
74 453.366 0.323681
75 462.46 0.343338
76 471.819 0.391026
77 480.906 0.406467
78 490.306 0.433162
79 499.763 0.470883
80 509.225 0.480828
81 518.711 0.493829
82 528.362 0.503716
83 537.973 0.499725
84 547.625 0.486712
85 557.385 0.554295
86 567.318 0.563922
87 577.006 0.555377
88 587.009 0.601579
89 596.648 0.712814
90 606.637 0.649487
91 616.474 0.67947
92 626.659 0.565154
93 636.783 0.606014
94 647.151 0.679389
95 657.256 0.712253
96 667.545 0.710894
97 677.775 0.721908
98 687.96 0.884513
99 698.349 0.932131
100 708.887 0.904005
101 719.367 0.893404
102 730.117 1.0096
103 740.617 0.975631
104 751.424 0.969735
105 762.353 0.923614
106 773.399 0.998489
107 784.16 0.972498
108 795.429 1.04684
109 806.206 1.04356
110 817.361 1.04728
111 828.444 1.0208
112 839.511 0.908671
113 850.593 1.02094
114 861.759 1.0043
115 873.162 0.948135
116 884.803 0.938274
117 896.393 0.923846
118 908.055 0.96562
119 919.46 0.95686
120 931.003 0.969534
121 942.406 0.994418
122 954.298 0.980995
123 965.621 1.00163
124 977.345 1.06575
125 988.917 1.07086
126 1000.96 1.08746
127 1012.79 1.04548
128 1024.48 1.12536
129 1036.37 1.1535
130 1048.39 1.15213
131 1060.36 1.2155
132 1072.76 1.32789
133 1084.98 1.25517
134 1097.53 1.32336
135 1109.77 1.51472
136 1122.07 1.40475
137 1134.19 1.40272
138 1146.82 1.43551
139 1159.12 1.43779
140 1171.51 1.60031
141 1184.16 1.73868
142 1196.56 1.56318
143 1209.17 1.61559
144 1222.27 1.59447
145 1235 1.63368
146 1247.81 1.63842
147 1260.56 1.7374
148 1273.2 1.6221
149 1285.9 1.66196
150 1298.79 1.65202
151 1312.11 1.84386
152 1325.15 1.79948
153 1337.79 1.78344
154 1351.04 1.86041
155 1364.09 1.85964
156 1376.67 1.92819
157 1389.75 1.83492
158 1403.15 1.93133
159 1416.3 1.94246
160 1429.69 1.95782
161 1443.2 2.04836
162 1457.1 2.00865
163 1470.43 2.20644
164 1483.54 2.42941
165 1497.06 3.02517
166 1510.19 3.19235
167 1523.46 3.34614
168 1537.48 3.43063
169 1550.95 3.30326
170 1564.42 3.0208
171 1578.1 3.62348
172 1591.65 3.67963
173 1605.12 3.68797
174 1619.18 3.75781
175 1633.31 3.42674
176 1646.87 3.03934
177 1660.43 2.79972
178 1674.32 2.62378
179 1688.25 2.63368
180 1702.14 2.65438
181 1716.38 2.61807
182 1729.97 2.71109
183 1744.26 2.64729
184 1758.96 2.89062
185 1773.12 3.01412
186 1786.75 3.02287
187 1800.57 2.91482
188 1814.73 3.50359
189 1828.69 3.45581
190 1842.65 3.23942
191 1857.59 3.50374
192 1871.76 3.32351
193 1887.02 3.29157
194 1901.23 3.44236
195 1915.15 3.72222
196 1929.89 3.67969
197 1944.75 4.03226
198 1959.67 3.59074
199 1974.37 3.69907
200 1989.02 3.66764
201 2004.17 3.90697
202 2019.16 3.58581
203 2033.93 4.06569
204 2049.39 4.23594
205 2064.2 4.26893
206 2080.08 4.18739
207 2095.2 4.52154
208 2110.52 4.17553
209 2125.37 4.15114
210 2141.09 3.74863
211 2156.22 3.5316
212 2171.46 3.47935
213 2186.76 3.56819
214 2201.67 3.82278
215 2216.83 3.874
216 2232.45 3.81602
217 2247.96 3.79727
218 2263.61 4.22686
219 2278.91 4.02674
220 2294.47 4.16247
221 2309.54 4.17215
